period_date,analysis_period,clean_treated_value,clean_scm_synthetic_value,clean_augmented_synthetic_value,visual_treated_value,display_treated_value
2015-08-01,pre,47.728614063518826,58.13918926080268,48.12967547040565,47.728614063518826,47.728614063518826
2015-10-01,pre,78.15878500923534,58.55829062586397,78.12288838093504,78.15878500923534,78.15878500923534
2015-12-01,pre,108.40379006058976,115.09826478574767,107.53372233761672,108.40379006058976,108.40379006058976
2016-02-01,pre,88.03627560222799,105.24466981327852,93.98184701757738,88.03627560222799,88.03627560222799
2016-04-01,pre,83.00457791919585,78.33695176100511,79.74453313830024,83.00457791919585,83.00457791919585
2016-06-01,pre,62.6774631833182,62.43707600412105,62.95433548541911,62.6774631833182,62.6774631833182
2016-08-01,pre,41.7076310180557,39.330435844538826,43.26313827817359,41.7076310180557,41.7076310180557
2016-10-01,pre,51.4467814422251,52.14140950337711,49.368020453079154,51.4467814422251,51.4467814422251
2016-12-01,pre,74.81426043838553,74.05101449729544,77.25100797572405,74.81426043838553,74.81426043838553
2017-02-01,pre,64.80680508258614,64.16822038169542,64.56241740455799,64.80680508258614,64.80680508258614
2017-04-01,pre,54.92800809730856,57.13071906391157,55.11294151574426,54.92800809730856,54.92800809730856
2017-06-01,pre,55.74850685561131,56.114985724714394,53.023658283223334,55.74850685561131,55.74850685561131
2017-08-01,pre,39.73726012950016,42.90011331388981,40.21740480847549,39.73726012950016,39.73726012950016
2017-10-01,pre,53.20125979734786,55.60058853435247,54.51496370698613,53.20125979734786,53.20125979734786
2017-12-01,pre,83.9038362171847,76.41865901586024,82.79568743933184,83.9038362171847,83.9038362171847
2018-02-01,pre,74.67965792721377,66.30078608291252,73.77753512010601,74.67965792721377,74.67965792721377
2018-04-01,pre,63.62686524623029,58.453537487801064,63.206389707859735,63.62686524623029,63.62686524623029
2018-06-01,pre,60.948437101377046,54.82235614410991,60.806751729151074,60.948437101377046,60.948437101377046
2018-08-01,pre,34.38103264454696,45.56417228497616,32.05855109830326,34.38103264454696,34.38103264454696
2018-10-01,pre,32.9919525832201,61.888314161594515,33.357582319989405,32.9919525832201,32.9919525832201
2018-12-01,crisis,92.18664458670088,126.35592547288908,126.25610546507411,92.18664458670088,92.18664458670088
2019-02-01,post,50.59733513358718,1.460099606332921,1.4592325764872107,50.59733513358718,50.59733513358718
2019-04-01,post,30.114210492505578,7.378377279211752,7.293421803810049,30.114210492505578,30.114210492505578
2019-06-01,post,23.59455998942261,15.433072622415326,15.089334532225854,23.59455998942261,23.59455998942261
2019-08-01,post,27.964672875425684,22.03433088719511,21.688915066178257,27.964672875425684,27.964672875425684
2019-10-01,post,21.595205087447127,35.77274821659071,35.68516178433783,21.595205087447127,21.595205087447127
2019-12-01,post,32.33988278868948,54.516844302567705,54.64002892487716,32.33988278868948,32.33988278868948
