period_date,year,month,state_abbrev,state_name,macroregion,formal_hiring_balance,post_2020_caged_dummy,caged_method_break_dummy,source_regime,source_component,series_version,formal_hiring_balance_construction,retail_volume_index,services_volume_index,quarter,pnadc_population,unemployment_rate_pnadc,formalization_rate_pnadc,resident_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,formal_hiring_balance_per_100k_wap,formal_hiring_balance_construction_per_100k_wap,instability_start_date,removal_date,formal_hiring_balance_per_100k_wap_ma6_clean,formal_hiring_balance_construction_per_100k_wap_ma6_clean,retail_volume_index_ma6_clean,services_volume_index_ma6_clean,formal_hiring_balance_per_100k_wap_ma6_visual,formal_hiring_balance_construction_per_100k_wap_ma6_visual,retail_volume_index_ma6_visual,services_volume_index_ma6_visual
2015-11-01,2015,11,AC,Acre,North,-754,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-279,100,100,4,575000,0.077,0.468,814491.3333333334,FALSE,TRUE,FALSE,,pre,-131.1304347826087,-48.52173913043478,2018-11-07,2018-12-10,,,,,,,,
2015-12-01,2015,12,AC,Acre,North,-973,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-549,134.48559127821378,106.14320200927054,4,575000,0.077,0.468,815589.1666666666,FALSE,TRUE,FALSE,,pre,-169.2173913043478,-95.47826086956522,2018-11-07,2018-12-10,,,,,,,,
2016-01-01,2016,1,AC,Acre,North,-286,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-228,98.43620941947049,91.37165573411372,1,574000,0.08800000000000001,0.456,816687,FALSE,TRUE,FALSE,,pre,-49.825783972125436,-39.721254355400696,2018-11-07,2018-12-10,,,,,,,,
2016-02-01,2016,2,AC,Acre,North,-531,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-11,90.61728223600514,90.64403386823152,1,574000,0.08800000000000001,0.456,817764.6666666666,FALSE,TRUE,FALSE,,pre,-92.50871080139373,-1.916376306620209,2018-11-07,2018-12-10,,,,,,,,
2016-03-01,2016,3,AC,Acre,North,-638,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-85,95.7201608940605,99.28475048961778,1,574000,0.08800000000000001,0.456,818842.3333333334,FALSE,TRUE,FALSE,,pre,-111.14982578397212,-14.80836236933798,2018-11-07,2018-12-10,,,,,,,,
2016-04-01,2016,4,AC,Acre,North,-463,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,12,94.4032873230022,99.56051755746414,2,582000,0.111,0.517,819920,FALSE,TRUE,FALSE,,pre,-79.55326460481099,2.0618556701030926,2018-11-07,2018-12-10,-105.5642352082098,-33.064022893542635,102.27708852512535,97.83402660978295,-105.5642352082098,-33.064022893542635,102.27708852512535,97.83402660978295
2016-05-01,2016,5,AC,Acre,North,147,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,15,96.95473308182545,98.30298588605353,2,582000,0.111,0.517,820997.6666666666,FALSE,TRUE,FALSE,,pre,25.257731958762886,2.577319587628866,2018-11-07,2018-12-10,-79.49954075131454,-24.54751310719869,101.76954403876293,97.55119092412521,-79.49954075131454,-24.54751310719869,101.76954403876293,97.55119092412521
2016-06-01,2016,6,AC,Acre,North,191,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,258,91.93415580706345,108.7952891892541,2,582000,0.111,0.517,822075.3333333334,FALSE,TRUE,FALSE,,pre,32.81786941580756,44.329896907216494,2018-11-07,2018-12-10,-45.82699729795531,-1.246153477735072,94.67763812690454,97.99320545412246,-45.82699729795531,-1.246153477735072,94.67763812690454,97.99320545412246
2016-07-01,2016,7,AC,Acre,North,765,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,102,97.8600740172347,97.09683587924873,3,588000,0.122,0.532,823153,FALSE,TRUE,FALSE,,pre,130.10204081632654,17.346938775510203,2018-11-07,2018-12-10,-15.839026499879978,8.26521204408341,94.58161555986524,98.9474021449783,-15.839026499879978,8.26521204408341,94.58161555986524,98.9474021449783
2016-08-01,2016,8,AC,Acre,North,-29,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-143,92.18107281653465,102.4761813961985,3,588000,0.122,0.532,824230.6666666666,FALSE,TRUE,FALSE,,pre,-4.931972789115647,-24.31972789115646,2018-11-07,2018-12-10,-1.2429034978336297,4.531320113327369,94.84224732328683,100.9194267329728,-1.2429034978336297,4.531320113327369,94.84224732328683,100.9194267329728
2016-09-01,2016,9,AC,Acre,North,-65,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,22,86.91357853230143,96.77717424133807,3,588000,0.122,0.532,825308.3333333334,FALSE,TRUE,FALSE,,pre,-11.054421768707483,3.741496598639456,2018-11-07,2018-12-10,15.43966383804381,7.622963274656942,93.37448359632698,100.50149735825951,15.43966383804381,7.622963274656942,93.37448359632698,100.50149735825951
2016-10-01,2016,10,AC,Acre,North,-336,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-85,93.33333076141511,100.6884397076922,4,593000,0.117,0.499,826386,FALSE,TRUE,FALSE,,pre,-56.6610455311973,-14.33389544688027,2018-11-07,2018-12-10,19.25503368364609,4.890338088493048,93.19615750272914,100.68948438329753,19.25503368364609,4.890338088493048,93.19615750272914,100.68948438329753
2016-11-01,2016,11,AC,Acre,North,-1007,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-166,95.88476366064722,97.53322523290959,4,593000,0.117,0.499,827463.6666666666,FALSE,TRUE,FALSE,,pre,-169.81450252951097,-27.993254637436763,2018-11-07,2018-12-10,-13.257005397732886,-0.20475761568455683,93.0178292658661,100.56119094110687,-13.257005397732886,-0.20475761568455683,93.0178292658661,100.56119094110687
2016-12-01,2016,12,AC,Acre,North,-642,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-324,127.24279949698425,100.02141509179926,4,593000,0.117,0.499,828541.3333333334,FALSE,TRUE,FALSE,,pre,-108.26306913996628,-54.63743676222597,2018-11-07,2018-12-10,-36.77049515702853,-16.6993132272583,98.90260321418623,99.09887859153106,-36.77049515702853,-16.6993132272583,98.90260321418623,99.09887859153106
2017-01-01,2017,1,AC,Acre,North,25,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-54,96.23761798192638,88.30426678874058,1,598000,0.159,0.497,829619,FALSE,TRUE,FALSE,,pre,4.1806020066889635,-9.03010033444816,2018-11-07,2018-12-10,-57.757401625301455,-21.09548641225136,98.63219387496818,97.6334504097797,-57.757401625301455,-21.09548641225136,98.63219387496818,97.6334504097797
2017-02-01,2017,2,AC,Acre,North,-244,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,20,85.61990366365895,91.13112258748166,1,598000,0.159,0.497,832922.8333333334,FALSE,TRUE,FALSE,,pre,-40.802675585284284,3.3444816053511706,2018-11-07,2018-12-10,-63.73585209132956,-16.48478482950009,97.53866568282223,95.74260727499356,-63.73585209132956,-16.48478482950009,97.53866568282223,95.74260727499356
2017-03-01,2017,3,AC,Acre,North,-545,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,-41,90.35004707253339,95.21365420430834,1,598000,0.159,0.497,836226.6666666666,FALSE,TRUE,FALSE,,pre,-91.1371237458194,-6.8561872909699,2018-11-07,2018-12-10,-77.08296908751488,-18.251065477768314,98.11141043952755,95.48202060215527,-77.08296908751488,-18.251065477768314,98.11141043952755,95.48202060215527
2017-04-01,2017,4,AC,Acre,North,-329,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,42,92.03013979532933,95.60887818397111,2,597000,0.15,0.497,839530.5,FALSE,TRUE,FALSE,,pre,-55.108877721943045,7.035175879396985,2018-11-07,2018-12-10,-76.82427445263917,-14.68955359005544,97.89421194517992,94.63542701486843,-76.82427445263917,-14.68955359005544,97.89421194517992,94.63542701486843
2017-05-01,2017,5,AC,Acre,North,200,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,123,99.44527581701162,95.30906689878177,2,597000,0.15,0.497,842834.3333333334,FALSE,TRUE,FALSE,,pre,33.50083752093802,20.603015075376884,2018-11-07,2018-12-10,-42.938384444231005,-6.590175304586498,98.48763063790732,94.26473395918045,-42.938384444231005,-6.590175304586498,98.48763063790732,94.26473395918045
2017-06-01,2017,6,AC,Acre,North,251,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,236,94.17668846753153,95.4172249388842,2,597000,0.15,0.497,846138.1666666666,FALSE,TRUE,FALSE,,pre,42.04355108877722,39.530988274706864,2018-11-07,2018-12-10,-17.887281072773753,9.104562201568974,92.97661213299853,93.49736893369462,-17.887281072773753,9.104562201568974,92.97661213299853,93.49736893369462
2017-07-01,2017,7,AC,Acre,North,239,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,122,103.68879943757292,91.5889452275822,3,597000,0.13699999999999998,0.484,849442,FALSE,TRUE,FALSE,,pre,40.03350083752094,20.435510887772196,2018-11-07,2018-12-10,-11.911797934301758,14.015497405272367,94.21847570893962,94.04481534016821,-11.911797934301758,14.015497405272367,94.21847570893962,94.04481534016821
2017-08-01,2017,8,AC,Acre,North,141,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,97,104.66095880854344,98.10982248581001,3,597000,0.13699999999999998,0.484,852745.8333333334,FALSE,TRUE,FALSE,,pre,23.618090452261306,16.24790619765494,2018-11-07,2018-12-10,-1.1750035947108255,16.166068170656327,97.39198489975371,95.2079319898896,-1.1750035947108255,16.166068170656327,97.39198489975371,95.2079319898896
2017-09-01,2017,9,AC,Acre,North,217,0,0,old_caged,complete,old_complete_novo_mov_for_exc_v1,21,101.96861050960374,92.25280397603841,3,597000,0.13699999999999998,0.484,856049.6666666666,FALSE,TRUE,FALSE,,pre,36.348408710217754,3.5175879396984926,2018-11-07,2018-12-10,20.072585147962034,17.89503070910106,99.32841213926542,94.71445695184462,20.072585147962034,17.89503070910106,99.32841213926542,94.71445695184462
