competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_archive,source_status
201512,2015-12-01,2015,12,21,MA,Maranhao,Northeast,-3592,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,31,MG,Minas Gerais,Southeast,-15972,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,50,MS,Mato Grosso do Sul,Center-West,-761,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,51,MT,Mato Grosso,Center-West,-4236,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,15,PA,Para,North,-6714,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,25,PB,Paraiba,Northeast,-608,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,26,PE,Pernambuco,Northeast,-3187,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,22,PI,Piaui,Northeast,-1358,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,41,PR,Parana,South,-6926,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,33,RJ,Rio de Janeiro,Southeast,-7704,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,24,RN,Rio Grande do Norte,Northeast,-1552,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,11,RO,Rondonia,North,-1431,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,14,RR,Roraima,North,-91,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,43,RS,Rio Grande do Sul,South,-4202,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,42,SC,Santa Catarina,South,-4951,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,28,SE,Sergipe,Northeast,-894,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,35,SP,Sao Paulo,Southeast,-21995,CAGEDEST_122015.7z,integrity_ok
201512,2015-12-01,2015,12,17,TO,Tocantins,North,-612,CAGEDEST_122015.7z,integrity_ok
201601,2016-01-01,2016,1,12,AC,Acre,North,-228,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,27,AL,Alagoas,Northeast,140,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,13,AM,Amazonas,North,-560,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,16,AP,Amapa,North,4,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,29,BA,Bahia,Northeast,-679,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,23,CE,Ceara,Northeast,-1346,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,53,DF,Distrito Federal,Center-West,-893,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,32,ES,Espirito Santo,Southeast,-90,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,52,GO,Goias,Center-West,-12,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,21,MA,Maranhao,Northeast,-2105,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,31,MG,Minas Gerais,Southeast,-2025,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,50,MS,Mato Grosso do Sul,Center-West,373,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,51,MT,Mato Grosso,Center-West,-37,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,15,PA,Para,North,-1491,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,25,PB,Paraiba,Northeast,-362,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,26,PE,Pernambuco,Northeast,279,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,22,PI,Piaui,Northeast,-12,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,41,PR,Parana,South,1571,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,33,RJ,Rio de Janeiro,Southeast,-2362,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,24,RN,Rio Grande do Norte,Northeast,-539,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,11,RO,Rondonia,North,-807,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,14,RR,Roraima,North,-38,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,43,RS,Rio Grande do Sul,South,471,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,42,SC,Santa Catarina,South,1558,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,28,SE,Sergipe,Northeast,300,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,35,SP,Sao Paulo,Southeast,6019,CAGEDEST_012016.7z,integrity_ok
201601,2016-01-01,2016,1,17,TO,Tocantins,North,211,CAGEDEST_012016.7z,integrity_ok
201602,2016-02-01,2016,2,12,AC,Acre,North,-11,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,27,AL,Alagoas,Northeast,-434,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,13,AM,Amazonas,North,-310,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,16,AP,Amapa,North,-88,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,29,BA,Bahia,Northeast,-680,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,23,CE,Ceara,Northeast,1067,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,53,DF,Distrito Federal,Center-West,-719,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,32,ES,Espirito Santo,Southeast,-937,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,52,GO,Goias,Center-West,-330,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,21,MA,Maranhao,Northeast,-3151,CAGEDEST_022016.7z,integrity_ok
201602,2016-02-01,2016,2,31,MG,Minas Gerais,Southeast,-820,CAGEDEST_022016.7z,integrity_ok
