state_abbrev,unemployment_rate,formalization_rate,transfer_dependency_ratio,liquidated_expenditure_health_real_pc,liquidated_expenditure_education_real_pc,liquidated_expenditure_public_security_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.11773333333333333,0.4890833333333333,0.11023866757268833,251.4587845821909,334.6957081633879,150.70698816381235,TRUE,FALSE,
AL,0.1486,0.5394166666666667,0.09023423457292198,86.33984624589678,63.07985544463432,86.1682345309464,TRUE,FALSE,
AM,0.1328,0.44225000000000003,0.0390274703881779,163.68441520284088,150.83166617441532,95.78483013814683,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01
AP,0.16126666666666667,0.5083333333333333,0.12453623406649136,195.38678984593625,290.86693021819053,144.2022971954914,TRUE,FALSE,
BA,0.15526666666666666,0.4539166666666667,0.06612431809588074,107.77123729848914,82.1153782944683,69.65595582602944,TRUE,FALSE,
CE,0.11366666666666667,0.45583333333333337,0.07380823979880294,87.57024971000801,83.77620790682542,59.3227724547646,TRUE,FALSE,
DF,0.12106666666666667,0.7306666666666667,0.007406939515172871,412.90773231820884,475.3966470662585,62.77335357716857,TRUE,FALSE,
ES,0.1136,0.6069166666666667,0.07391217208335506,153.93680574522944,82.04592063507194,85.5655359618941,TRUE,FALSE,
GO,0.096,0.6029166666666667,0.026986750028008828,123.5738513325034,160.63142619681486,104.91994790476339,TRUE,FALSE,
MA,0.12413333333333333,0.3763333333333333,0.09480264919063364,70.21040776506206,89.86332655108268,54.34212154396573,TRUE,FALSE,
MG,0.10780000000000001,0.6126666666666667,0.018085126168848057,76.87993238894774,108.30855168675352,171.29325437809635,TRUE,FALSE,
MS,0.0756,0.6375,0.025541798402401433,96.4791901648905,160.3276523738203,115.17335157372086,TRUE,FALSE,
MT,0.08246666666666666,0.6204999999999999,0.03143790191316021,116.85316683854113,177.43519339833983,137.095367619413,TRUE,FALSE,
PA,0.1082,0.38725,0.030464010208865775,79.02508227725174,100.25195408983012,73.04276986618017,TRUE,FALSE,
PB,0.11013333333333333,0.47933333333333333,0.08001045870005791,80.11624710205083,120.33875882161601,72.20860599506484,TRUE,FALSE,
PE,0.14813333333333334,0.5196666666666666,0.05139766033531405,132.5786545130607,81.26625190329456,67.49297066603528,TRUE,FALSE,
PI,0.10673333333333333,0.41274999999999995,0.08811328174714562,111.91936463498394,108.04274619631,47.52141049834523,TRUE,FALSE,
PR,0.08026666666666667,0.6628333333333333,0.021478537290437794,98.4736832205682,224.6481456857122,85.00620009229911,TRUE,FALSE,
RJ,0.1226,0.6520833333333333,0.01134508937649817,79.42882943605561,93.91157814564828,138.73381431401216,TRUE,FALSE,
RN,0.13706666666666667,0.5365833333333334,0.07293948115362968,91.88503877077598,96.34381949896985,66.59520338045685,TRUE,FALSE,
RO,0.07680000000000001,0.5083333333333333,0.07726345094244669,139.99257044225934,156.29046897430197,120.80961861219271,TRUE,FALSE,
RR,0.09733333333333333,0.5631666666666667,0.12881850902453124,276.20121908181045,305.8672781658568,170.9595778939736,FALSE,TRUE,treated_unit
RS,0.07873333333333334,0.6700833333333334,0.03395409745669677,126.4371113110045,96.36046979991828,83.11501481389965,TRUE,FALSE,
SC,0.060066666666666664,0.7281666666666666,0.019075631870723385,108.92207608249016,117.3962794472146,82.39521638652937,TRUE,FALSE,
SE,0.13426666666666667,0.48141666666666666,0.09324102220569132,118.77806399962516,107.00046908676114,96.9879225354563,TRUE,FALSE,
SP,0.122,0.7113333333333334,0.021406927755657244,129.72394757402287,183.75299498967217,66.35048792766115,TRUE,FALSE,
TO,0.10673333333333333,0.56275,0.10202745189998712,240.5592888463317,183.88062051858523,132.8392103375899,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01
