dropped_donor,period_date,event_time,loo_gap
AM,2007-09-01,-19,-0.09323557084118894
AM,2007-10-01,-18,-0.09216457692215974
AM,2007-11-01,-17,-0.09036322741348846
AM,2007-12-01,-16,-0.07761328703493531
AM,2008-01-01,-15,-0.07468586151721457
AM,2008-02-01,-14,-0.07526118812550919
AM,2008-03-01,-13,-0.07459274112601921
AM,2008-04-01,-12,-0.06984064686205738
AM,2008-05-01,-11,-0.07119955678712042
AM,2008-06-01,-10,-0.08468280527209426
AM,2008-07-01,-9,-0.08161478378391251
AM,2008-08-01,-8,-0.07665449297791582
AM,2008-09-01,-7,-0.07295694061114766
AM,2008-10-01,-6,-0.07470664957674078
AM,2008-11-01,-5,-0.06944879134851156
AM,2008-12-01,-4,-0.06742329962116766
AM,2009-01-01,-3,-0.06873377273476411
AM,2009-02-01,-2,-0.0661269228805228
AM,2009-03-01,-1,-0.07394949800841033
AM,2009-04-01,0,-0.07766092628785248
AM,2009-05-01,1,-0.08540882938792027
AM,2009-06-01,2,-0.08271951337210215
AM,2009-07-01,3,-0.08609523962673737
AM,2009-08-01,4,-0.08966613002703738
AM,2009-09-01,5,-0.0903263130913734
AM,2009-10-01,6,-0.09441728618647094
AM,2009-11-01,7,-0.09621263287079085
AM,2009-12-01,8,-0.1048330157716082
AM,2010-01-01,9,-0.0990327183511166
AM,2010-02-01,10,-0.10181562811090039
AM,2010-03-01,11,-0.09806660280220125
AM,2010-04-01,12,-0.0951222871497972
AM,2010-05-01,13,-0.08513770659982534
AM,2010-06-01,14,-0.0703360027360409
AM,2010-07-01,15,-0.06411920017120742
AM,2010-08-01,16,-0.05391429418382909
AM,2010-09-01,17,-0.04508386609651005
AM,2010-10-01,18,-0.037826476302315726
AM,2010-11-01,19,-0.033769309869326136
AM,2010-12-01,20,-0.037174710599479965
AM,2011-01-01,21,-0.044221748426604535
AM,2011-02-01,22,-0.04315647879725493
AM,2011-03-01,23,-0.039513108924460916
AP,2006-09-01,-31,-0.12241682393158992
AP,2006-10-01,-30,-0.12029081298129674
AP,2006-11-01,-29,-0.12282585437002069
AP,2006-12-01,-28,-0.1218376979965643
AP,2007-01-01,-27,-0.11966821966294816
AP,2007-02-01,-26,-0.11942107200548646
AP,2007-03-01,-25,-0.10946006259056729
AP,2007-04-01,-24,-0.10554485738026553
AP,2007-05-01,-23,-0.1016858416910007
AP,2007-06-01,-22,-0.10055432846437506
AP,2007-07-01,-21,-0.10035797318503059
AP,2007-08-01,-20,-0.09977726126953668
AP,2007-09-01,-19,-0.10104479035564529
AP,2007-10-01,-18,-0.10026277496982372
AP,2007-11-01,-17,-0.0992040758082191
AP,2007-12-01,-16,-0.0866406363364205
AP,2008-01-01,-15,-0.08347843829438961
AP,2008-02-01,-14,-0.08442346320759953
AP,2008-03-01,-13,-0.08397306892644174
AP,2008-04-01,-12,-0.07981937464442623
AP,2008-05-01,-11,-0.08136806717120404
AP,2008-06-01,-10,-0.09537064555695096
AP,2008-07-01,-9,-0.09304638696189915
AP,2008-08-01,-8,-0.08813022797340864
AP,2008-09-01,-7,-0.08455119220834284
AP,2008-10-01,-6,-0.08665347527301126
AP,2008-11-01,-5,-0.08182321594040243
AP,2008-12-01,-4,-0.08045858305461095
AP,2009-01-01,-3,-0.08224698527941676
AP,2009-02-01,-2,-0.0795329132786069
AP,2009-03-01,-1,-0.08724476594631358
AP,2009-04-01,0,-0.09078973773869858
AP,2009-05-01,1,-0.09852541453402797
AP,2009-06-01,2,-0.09538550710736882
AP,2009-07-01,3,-0.09853562879920474
AP,2009-08-01,4,-0.10220393258934113
AP,2009-09-01,5,-0.10296577632844084
AP,2009-10-01,6,-0.10686893990467627
AP,2009-11-01,7,-0.10854763061314099
AP,2009-12-01,8,-0.11711885097422403
AP,2010-01-01,9,-0.11123397893545661
AP,2010-02-01,10,-0.11386165578886409
AP,2010-03-01,11,-0.11023826491584021
AP,2010-04-01,12,-0.10769133922457996
AP,2010-05-01,13,-0.09757739580032254
AP,2010-06-01,14,-0.08257880077084856
AP,2010-07-01,15,-0.0763200392669523
AP,2010-08-01,16,-0.0660662925902491
AP,2010-09-01,17,-0.05665208230600349
AP,2010-10-01,18,-0.04882898392186341
AP,2010-11-01,19,-0.0445934696070962
AP,2010-12-01,20,-0.04787382370559534
AP,2011-01-01,21,-0.054612198767817866
AP,2011-02-01,22,-0.053454649370862306
AP,2011-03-01,23,-0.04993803027628463
BA,2006-09-01,-31,-0.1138533769131631
BA,2006-10-01,-30,-0.11076018130458642
BA,2006-11-01,-29,-0.11203607040539776
BA,2006-12-01,-28,-0.11118230482599589
BA,2007-01-01,-27,-0.10865511516966153
BA,2007-02-01,-26,-0.10764905596794216
BA,2007-03-01,-25,-0.09735708499899687
BA,2007-04-01,-24,-0.0936764368585834
BA,2007-05-01,-23,-0.09052934985288408
BA,2007-06-01,-22,-0.08866492760772404
BA,2007-07-01,-21,-0.08789598671340881
BA,2007-08-01,-20,-0.08683819544667104
BA,2007-09-01,-19,-0.08688621919646655
BA,2007-10-01,-18,-0.0855239552042737
BA,2007-11-01,-17,-0.0832234337636355
BA,2007-12-01,-16,-0.07024184042720139
BA,2008-01-01,-15,-0.06733273198336587
BA,2008-02-01,-14,-0.0676984889305885
BA,2008-03-01,-13,-0.06688473891961788
BA,2008-04-01,-12,-0.0617754082470956
