Covariate,Treated,Retail volume,Services volume,Formal hiring,Construction,ICMS,Tax revenue,Public investment,Total expenditure
Unemployment rate,    0.102,    0.124,    0.124,    0.109,    0.109,    0.108,    0.104,    0.109,    0.108
Formalization rate,    0.556,    0.529,    0.527,    0.537,    0.507,    0.520,    0.529,    0.538,    0.540
Labor income (real),"2,659.377","3,023.385","2,993.827","2,844.088","2,524.134","2,811.240","2,803.029","2,840.459","2,856.134"
Transfer dependency ratio,    0.255,    0.208,    0.225,    0.235,    0.222,    0.248,    0.245,    0.231,    0.243
Health expenditure pc,  251.799,  182.145,  182.573,  214.859,  132.340,  196.241,  208.020,  197.502,  216.441
Education expenditure pc,  181.093,  195.182,  225.105,  258.335,  173.352,  228.258,  231.160,  225.587,  239.813
Public security expenditure pc,  139.965,  106.898,  139.130,  130.630,   96.330,  132.078,  127.221,  134.686,  127.747
