donor_state,scm_weight,outcome
SE,0.5573331463899276,Retail volume
AC,0.16592852973254862,Retail volume
GO,0.1484286675813976,Retail volume
DF,0.12830965626873062,Retail volume
PI,6.2898368403583105e-12,Retail volume
AP,0.5289309388927723,Services volume
MT,0.19076905258997037,Services volume
ES,0.15517837911758467,Services volume
AM,0.12512162938670413,Services volume
MA,3.849175154641554e-12,Services volume
AC,0.6311541950132541,Formal hiring
ES,0.16921675876707257,Formal hiring
MS,0.15136847036288767,Formal hiring
PE,0.04826057585343136,Formal hiring
MT,1.9310626506792162e-12,Formal hiring
PB,0.6541074417143974,Construction
AC,0.2423015503070641,Construction
RS,0.10359100793067733,Construction
CE,1.0402965414327623e-11,Construction
PR,9.085399227644704e-12,Construction
RO,0.3252327734004513,ICMS
AC,0.28623406528322703,ICMS
AP,0.21595754858406813,ICMS
ES,0.17257561273047928,ICMS
CE,1.3481268390368842e-12,ICMS
AC,0.4887971380549978,Tax revenue
ES,0.26881230603979983,Tax revenue
RO,0.22298786144145497,Tax revenue
AP,0.01940269446167595,Tax revenue
MS,1.2119369635293348e-12,Tax revenue
AC,0.4085434347439365,Public investment
ES,0.24391352391040264,Public investment
RO,0.12814920670143212,Public investment
MG,0.11008424987262697,Public investment
AP,0.1093095847608326,Public investment
AC,0.5818248301764657,Total expenditure
ES,0.30149049765756303,Total expenditure
RO,0.05698861382737168,Total expenditure
RS,0.04367501048009416,Total expenditure
MG,0.01602104785467705,Total expenditure
