Outcome,Gap post,LOO rank,p-value (2-sided),Note
Formal hiring,-2.33,24 / 25,0.08,Unusually large negative gap
Retail,5.15,20 / 25,0.24,Not extreme vs LOO distribution
Services,5.68,2 / 25,0.08,Unusually small positive gap
ICMS,47.98,2 / 25,0.08,Unusually small positive gap
Public investment,-4.83,20 / 25,0.24,Not extreme vs LOO distribution
Total expenditure,-22.08,23 / 25,0.12,Not extreme vs LOO distribution
