period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-04-01,pre,97.93241494874044,97.66545550163218,0.18213398246723614,1e-4,0.041752265291678956,97.84758948409942,0.26695944710826325,0.08482546464102825,services_volume_index_ma6_clean
2016-05-01,pre,96.80084592302988,97.1142886369239,-0.0758940105450395,0.006768750009458534,0.056545771288061826,97.03839462637886,-0.3134427138940197,-0.2375487033489776,services_volume_index_ma6_clean
2016-06-01,pre,95.55243405562024,96.2539691393387,-0.9029598320528285,1e-4,0.06634604012299941,95.35100930728586,-0.7015350837184542,0.20142474833437518,services_volume_index_ma6_clean
2016-07-01,pre,95.4465722409067,96.18637851446186,-0.6136753133472654,1e-4,0.058289904548421395,95.57270320111459,-0.7398062735551605,-0.12613096020788817,services_volume_index_ma6_clean
2016-08-01,pre,96.2490122611765,96.77766291136568,-0.6176040728923091,1e-4,0.0938947195086979,96.16005883847338,-0.5286506501891779,0.08895342270312767,services_volume_index_ma6_clean
2016-09-01,pre,95.91314534472318,95.48462048822202,0.39680010978465263,0.00335292414924956,0.06862091339659009,95.88142059800667,0.4285248565011557,0.03172474671650605,services_volume_index_ma6_clean
2016-10-01,pre,95.74154559142394,94.90686406700455,0.9851309601375453,1e-4,0.06312384408846014,95.89199502714209,0.8346815244193948,-0.1504494357181443,services_volume_index_ma6_clean
2016-11-01,pre,95.6709912876114,94.29758096378117,1.6251029203589538,1e-4,0.07786552915906386,95.92268388414013,1.3734103238302282,-0.2516925965287271,services_volume_index_ma6_clean
2016-12-01,pre,95.5498338970106,93.4686037770935,1.7761482799793644,1e-4,0.08453242284392053,95.24475205707287,2.0812301199170946,0.30508183993772775,services_volume_index_ma6_clean
2017-01-01,pre,92.6267716616428,91.82980794132054,0.8300367712158828,1e-4,0.07810851589058554,92.65984471253643,0.7969637203222675,-0.03307305089361989,services_volume_index_ma6_clean
2017-02-01,pre,89.5431960635313,89.84070675407202,-0.20149935974218627,0.039194067748472214,0.08493343704954247,89.63920739432983,-0.29751069054071877,-0.09601133079853241,services_volume_index_ma6_clean
2017-03-01,pre,86.82484810144847,89.36621200830871,-2.5875058614526996,0.02758531617629184,0.05329476113072647,86.77870614685601,-2.5413639068602407,0.04614195459245707,services_volume_index_ma6_clean
2017-04-01,pre,84.33753744692712,88.40194599156064,-4.1541709939856,0.07912342618981327,0.06495862261401777,84.24777499757504,-4.0644085446335225,0.08976244935207944,services_volume_index_ma6_clean
