pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.010190840844273153,0.09747566767355752,9.56502698482775
AL,0.004218768188758028,0.03362375089245527,7.9700399235146975
AM,0.006834583959067321,0.024325974809592088,3.5592473448686293
AP,0.01870869142720441,0.14752961694921604,7.885619233352282
BA,0.002155429502985658,0.02284956147499809,10.60093194574322
CE,0.002645933265467774,0.030825884805268447,11.650288088357641
ES,0.0037433053435182453,0.07262589861841508,19.401542741943594
GO,0.003618328731786094,0.07108615102217955,19.646128445352648
MG,0.003579590015757313,0.012179483246448788,3.4024799468192857
MS,0.006440321065704227,0.05151727354999187,7.999177839802095
MT,0.00590899951869438,0.05936242687798338,10.046104537693342
PA,0.00679323572467057,0.024978823730917626,3.6770141274803096
PE,0.0025353934834078705,0.013165485742125657,5.192679490691787
PI,0.004724976697781842,0.04356143587579384,9.219396975279036
PR,0.0019544482400886756,0.015737807741962852,8.052302137839582
RJ,0.0023617236286401855,0.01128239476956567,4.777186726146174
RN,0.003342841347908447,0.04620142109309924,13.821003237861289
RO,0.008390800126427789,0.05928504578514919,7.065481824364298
RR,0.013174025960453804,0.07344289583174277,5.5748254977032765
RS,0.0032102566227197055,0.024615106931430465,7.667644622932583
SC,0.0015085127523086358,0.01539929197836174,10.208261053673283
SE,0.004868192904592335,0.043284030146175455,8.891190426193695
SP,0.0036399092225773435,0.08873775615179613,24.379112424392492
