donor_state,scm_weight,outcome
GO,0.46167532359283325,Retail volume
MG,0.30892969360133254,Retail volume
BA,0.12673894596452176,Retail volume
SP,0.08035546085457393,Retail volume
DF,0.02230057598217449,Retail volume
MG,0.34934956704535425,Services volume
PR,0.2675331988772814,Services volume
RN,0.14444624120009636,Services volume
RO,0.08565599350206862,Services volume
DF,0.0802909560515502,Services volume
RS,0.5629375594612734,Formal hiring
AP,0.2097229383059925,Formal hiring
MS,0.1266304119235557,Formal hiring
SP,0.08286803665331392,Formal hiring
PE,0.01784105362921588,Formal hiring
BA,0.32704220946676704,Construction
MS,0.2859061354252995,Construction
MT,0.19193998864752787,Construction
SP,0.17486156332269084,Construction
MG,0.02025010312953902,Construction
MG,0.4617825133575277,ICMS
GO,0.3534160608495696,ICMS
AL,0.09564836667766333,ICMS
SE,0.07109765481427692,ICMS
AP,0.01208699764595169,ICMS
MG,0.5817959529171287,Tax revenue
AL,0.2190373002362421,Tax revenue
SP,0.16316462178546495,Tax revenue
GO,0.0360021250551918,Tax revenue
ES,2.2289921988770198e-12,Tax revenue
MG,0.7946958022175366,Public investment
RS,0.15342583810596236,Public investment
PE,0.03781920889980687,Public investment
DF,0.01405915075684742,Public investment
CE,7.09829405063047e-12,Public investment
MG,0.6601581750840415,Total expenditure
AL,0.14168217636530822,Total expenditure
PR,0.10883280392272808,Total expenditure
PE,0.05910260311725106,Total expenditure
DF,0.03022424150854701,Total expenditure
