pre_rmspe,post_rmspe,mean_abs_gap_post,post_pre_ratio,pseudo_treated_state,outcome,channel_slug
1.8536422077337082,8.156735972966102,6.906114263469919,4.400383169381244,AC,retail,consumption
3.5352326807185994,6.5167336723317835,4.86994870344633,1.8433676820975586,AC,services,consumption
23.44590962401786,35.79692052903951,25.62783864585872,1.5267874483474653,AC,formal_hiring,labor_market
7.882310329887369,12.482086957065382,10.091710871348603,1.5835569058651537,AC,construction,labor_market
23.33755666326589,87.06187004324373,70.1443944728023,3.7305477732500627,AC,icms_siconfi,public_sector
33.17109375890745,98.12625950902274,75.11619538500905,2.958185829572558,AC,tax_siconfi,public_sector
13.372185335691817,61.098588375013996,52.191579759661856,4.569080284277486,AC,investment_siconfi,public_sector
164.87378784300842,228.02171865291209,164.37937537477896,1.3830077032622836,AC,totalexp_siconfi,public_sector
1.1150259655107764,9.956937640380312,8.555214005252,8.929780963279354,AL,retail,consumption
1.6311291156879526,5.847863664747,5.295896652825879,3.5851629454119442,AL,services,consumption
42.27161751235311,89.63648056864558,65.989034583580235,2.120488541571681,AL,formal_hiring,labor_market
4.3348652028518355,7.69801766217735,6.187868230403192,1.7758378408428832,AL,construction,labor_market
11.901785883686449,40.66887763656266,37.789445354956456,3.417039932831149,AL,icms_siconfi,public_sector
25.76095604827874,47.33443432701534,43.08890922633616,1.8374486660473948,AL,tax_siconfi,public_sector
12.787846930312222,19.43066105580686,17.459238078052135,1.5194630622101486,AL,investment_siconfi,public_sector
53.87518739287727,107.67984515200126,82.144169536483,1.998690869820295,AL,totalexp_siconfi,public_sector
3.3798824456089913,15.716556105993654,14.169550433204243,4.6500303957056195,AP,retail,consumption
2.060349741395719,4.318688632960407,3.503923929050051,2.096094923202139,AP,services,consumption
26.588556896184162,55.30816971590914,42.54495118738714,2.0801493639486184,AP,formal_hiring,labor_market
11.431653354942151,10.143726391642955,8.175007989906636,0.8873367724413724,AP,construction,labor_market
47.594882250097484,59.84503435419266,52.71391886430439,1.2573838094550616,AP,icms_siconfi,public_sector
49.93061825944184,121.01298541549781,94.85647538580582,2.42362281169259,AP,tax_siconfi,public_sector
18.026725170238006,38.353831596251865,29.024924165853296,2.127609492797603,AP,investment_siconfi,public_sector
147.47947341942321,300.44820712269427,215.65367157520458,2.037220503684853,AP,totalexp_siconfi,public_sector
1.205316476231401,3.472967206200368,2.217226027044364,2.8813737094668364,BA,retail,consumption
1.9017547890681703,2.6203437964878686,2.0906412813660764,1.3778557632931192,BA,services,consumption
9.241573517658315,33.17065482943871,25.709666206196932,3.5892864744361943,BA,formal_hiring,labor_market
4.889320473692923,7.614935210334528,6.591477109170988,1.557462893117116,BA,construction,labor_market
7.994244133253486,29.70432175626393,23.314631309603808,3.7157136135864928,BA,icms_siconfi,public_sector
15.070870112830843,38.142605194561696,29.412366805152967,2.530882749900972,BA,tax_siconfi,public_sector
8.678205394140923,11.37173226139741,8.992737894061461,1.3103783264999718,BA,investment_siconfi,public_sector
40.39244548847938,94.41189684810408,59.815909337139466,2.3373652104087626,BA,totalexp_siconfi,public_sector
1.057701398327077,5.8270119363940305,4.673317519456644,5.509127571931337,CE,retail,consumption
2.0876859853849026,2.875503689601387,2.2459874933704334,1.3773640814431372,CE,services,consumption
9.993894653738087,33.750114384170175,23.391583775064483,3.377073258576563,CE,formal_hiring,labor_market
4.242585899940984,7.387724216087569,5.77142733168542,1.7413257834544575,CE,construction,labor_market
6.078064658941475,31.605238549922504,22.45501886654206,5.199885214025794,CE,icms_siconfi,public_sector
10.603376510700926,33.34698846557875,23.594038578155097,3.1449405226651126,CE,tax_siconfi,public_sector
46.558349053304624,13.351606219377448,9.598653260012657,0.2867714704422015,CE,investment_siconfi,public_sector
18.083890957037614,93.53898325433919,70.3375233570707,5.172503167408069,CE,totalexp_siconfi,public_sector
1.9983581048079686,9.445633561586765,8.632014701454212,4.726697151456966,DF,retail,consumption
3.667994072829665,18.359565745910096,13.785526308544519,5.005342261021337,DF,services,consumption
33.525459530766994,61.674902694507544,44.20886364491405,1.839643767981979,DF,formal_hiring,labor_market
8.799941246499507,10.561523577056109,8.224197597610585,1.2001811468067851,DF,construction,labor_market
36.334428289891264,98.75943414839193,87.43255131169751,2.718067650891542,DF,icms_siconfi,public_sector
62.26330880344596,133.25625823117934,117.02821540830399,2.1402052154318576,DF,tax_siconfi,public_sector
26.534830177788812,24.44320346488265,19.858645814674272,0.9211742943560658,DF,investment_siconfi,public_sector
320.704567239228,293.1948930818641,256.30068741642475,0.9142211338173952,DF,totalexp_siconfi,public_sector
2.1552403293960647,7.635196026788359,6.214193068104009,3.5426193184348365,ES,retail,consumption
1.544550546403249,7.318074531736491,6.2105800472173875,4.737996143135544,ES,services,consumption
14.195973532776566,59.53929258614032,45.24176326391916,4.194097181758773,ES,formal_hiring,labor_market
5.972917367833363,8.96786036078587,6.423084976037483,1.5014204631528167,ES,construction,labor_market
13.312225091768081,44.07789925540016,40.70711830983033,3.3110842816695416,ES,icms_siconfi,public_sector
16.68697716739615,63.46377993881889,52.044706259249196,3.8031921121590306,ES,tax_siconfi,public_sector
12.830907845529346,32.94661564151368,29.86761971475729,2.567754054362819,ES,investment_siconfi,public_sector
40.576220618222685,67.05716264994375,43.10717520021381,1.6526221917235075,ES,totalexp_siconfi,public_sector
1.3456826627172662,1.6625884544072107,1.3513104056227643,1.2354981605024422,GO,retail,consumption
0.9144843509597115,1.5529312406083855,1.2222954848518441,1.698149606364124,GO,services,consumption
17.643537717066177,32.021629279397416,23.97734360817746,1.814921122560565,GO,formal_hiring,labor_market
6.926699415231289,6.994637615725567,5.707312561282038,1.0098081635165066,GO,construction,labor_market
13.415807369478728,26.65686704187734,16.652575444463555,1.9869744926810988,GO,icms_siconfi,public_sector
