outcome,short_label,channel,channel_slug,pseudo_treated_state,pre_rmspe,crisis_rmspe,post_rmspe,mean_gap_crisis,mean_gap_post,post_pre_rmspe_ratio,abs_post_mean_gap
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,AC,8.139731180286661,,17.22067251952922,,-0.992791042754645,2.115631602335392,0.992791042754645
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,AL,10.023815054167828,,33.52905192303595,,-10.649893360124754,3.3449392014764694,10.649893360124754
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,AP,7.912134842272114,,34.53764978552974,,15.938773002165432,4.365149289545174,15.938773002165432
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,BA,5.9114550854806795,,17.56901731370925,,-5.3139653985120185,2.9720292313242966,5.3139653985120185
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,CE,3.030362134115492,,27.136870966595925,,-14.6561834340693,8.9549927584865,14.6561834340693
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,DF,11.935201196661477,,53.79768934480505,,-24.533838375147038,4.507480725155549,24.533838375147038
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,ES,9.802877752010845,,39.40972253573447,,26.454761213245835,4.020219728604738,26.454761213245835
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,GO,4.215292145381387,,22.669670201239583,,-6.5048073414759235,5.3779594437074305,6.5048073414759235
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,MA,2.501333921947555,,33.293733349313406,,20.481931998961812,13.310391330474856,20.481931998961812
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,MG,4.603890904228219,,51.75154717871939,,-22.61324919992173,11.240828302684303,22.61324919992173
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,MS,8.018358875159167,,33.35221041808078,,20.36234346652982,4.159480878488209,20.36234346652982
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,MT,9.198202122886554,,41.535356909149236,,1.8086697276352273,4.515595151557153,1.8086697276352273
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,PA,4.98235083819054,,50.60948455724819,,35.313984619761165,10.15775207344255,35.313984619761165
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,PB,5.481675578796597,,26.700212959143954,,-0.3412824942369694,4.870812322863788,0.3412824942369694
formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho e investimento privado,labor_investment,PE,3.9637278405915244,,16.534154880709625,,-1.6723412062300456,4.171364822626712,1.6723412062300456
