outcome,label,short_label,channel,family,specification,preferred_smooth,n_periods_crisis,n_periods_post,n_periods_pre,mean_gap_crisis,mean_gap_post,mean_gap_pre,median_gap_crisis,median_gap_post,median_gap_pre,cumulative_gap_crisis,cumulative_gap_post,cumulative_gap_pre,rmspe_crisis,rmspe_post,rmspe_pre,donor_count,augmented_rmspe_pre,augmented_rmspe_crisis,augmented_rmspe_post
formal_hiring_balance_per_100k_wap,Saldo de emprego formal por 100 mil pessoas em idade ativa,Emprego formal,Mercado de trabalho e investimento privado,monthly,raw,FALSE,2,24,36,30.248057957881223,26.30565015516227,6.310358754406554,30.248057957881223,24.892515871381782,0.23199065166991284,60.496115915762445,631.3356037238945,227.17291515863596,31.054600306032572,90.66154329987205,39.79402018215307,24,39.79402018215307,31.054600306032572,90.66154329987206
formal_hiring_balance_per_100k_wap_ma6_clean,"Saldo de emprego formal por 100 mil pessoas em idade ativa, média móvel limpa de 6 meses","Emprego formal, MM6",Mercado de trabalho e investimento privado,monthly,ma6_clean,TRUE,,19,31,,27.993093704124476,0.17129849453127735,,26.587858925826623,0.39263839479693274,,531.868780378365,5.310253330469598,,42.67612171704306,4.4917873878566414,24,4.4917873878566414,,42.67612171704306
icms_revenue_real_pc,Receita de ICMS real per capita,ICMS,Mercado de trabalho e investimento privado,bimonthly_fiscal,raw,FALSE,1,12,18,-379.7912112381237,77.1647299793525,0.5561526078387575,-379.7912112381237,-28.035801948445936,0.4171731638993208,-379.7912112381237,925.9767597522301,10.010746941097636,379.7912112381237,454.3624453739498,3.2584503911599154,24,3.2584503911599154,379.7912112381237,454.3624453739498
icms_revenue_real_pc_ma4_clean,"Receita de ICMS real per capita, média móvel limpa de 4 bimestres","ICMS, MM4",Mercado de trabalho e investimento privado,bimonthly_fiscal,ma4_clean,TRUE,,9,18,,127.84020856050654,-0.030122894820768315,,-12.775077993538048,-0.2629242416235513,,1150.5618770445587,-0.5422121067738297,,242.24000433213573,5.8515983013878134,24,5.851598301387813,,242.24000433213573
priority_expenditure_share_total,"Saúde, educação e segurança pública como proporção da despesa total liquidada",Áreas prioritárias/despesa total,Setor público estadual,bimonthly_fiscal,raw,FALSE,1,11,19,-0.02271451587551493,0.012712665371319112,0.0019344317220518885,-0.02271451587551493,0.03922561840666577,0.00251485284925384,-0.02271451587551493,0.13983931908451022,0.036754202718985884,0.02271451587551493,0.05088988286445493,0.012973372485406604,24,0.0129733724854066,0.02271451587551493,0.05088988286445493
priority_expenditure_share_total_ma4_clean,"Saúde, educação e segurança pública como proporção da despesa total liquidada, média móvel limpa de 4 bimestres","Áreas prioritárias/despesa total, MM4",Setor público estadual,bimonthly_fiscal,ma4_clean,TRUE,,9,20,,0.007538958818282476,6.765213804556235e-4,,0.00837753118805584,3.014096275845146e-4,,0.06785062936454228,0.01353042760911247,,0.021782755656141357,0.00300651424642881,24,0.00300651424642881,,0.02178275565614136
public_investment_share_total,Investimento público liquidado como proporção da despesa total liquidada,Investimento/despesa total,Setor público estadual,bimonthly_fiscal,raw,FALSE,1,11,19,0.00298420152195684,-8.952817377262977e-4,0.0053180334092425684,0.00298420152195684,-0.0033947449377766,-3.8177435518569475e-6,0.00298420152195684,-0.009848099114989276,0.1010426347756088,0.00298420152195684,0.017670546682840793,0.01566187316092177,24,0.01566187316092177,0.00298420152195684,0.01767054668284079
public_investment_share_total_ma4_clean,"Investimento público liquidado como proporção da despesa total liquidada, média móvel limpa de 4 bimestres","Investimento/despesa total, MM4",Setor público estadual,bimonthly_fiscal,ma4_clean,TRUE,,9,20,,-6.994030189570893e-4,-4.3145393992961934e-5,,-4.117083210570041e-4,1.0904087525693065e-4,,-0.006294627170613804,-8.629078798592386e-4,,0.003474192879957158,0.0027302933249587847,24,0.00273029332495878,,0.00347419287995716
retail_volume_index,Índice de volume do comércio varejista,Comércio,Consumo das famílias,monthly,raw,FALSE,2,24,36,3.262512058849211,8.403321622630898,0.3733507643612843,3.262512058849211,7.374849255663342,0.3802991773201043,6.525024117698422,201.67971894314155,13.440627517006234,6.304956745511693,10.93060706322998,3.49426878632651,24,3.49426878632651,6.304956745511693,10.93060706322998
retail_volume_index_ma6_clean,"Índice de volume do comércio varejista, média móvel limpa de 6 meses","Comércio, MM6",Consumo das famílias,monthly,ma6_clean,TRUE,,19,31,,6.710648583445764,-0.05653832163418227,,5.715889864503566,0.00543959761648693,,127.50232308546951,-1.7526879706596503,,9.011946360360396,0.5092705279060501,24,0.5092705279060501,,9.011946360360398
services_volume_index,Índice de volume de serviços,Serviços,Consumo das famílias,monthly,raw,FALSE,2,24,36,-0.36668719035695574,2.9526762264246225,0.09584134572810629,-0.36668719035695574,3.2358583310114,-0.11996733010535367,-0.7333743807139115,70.86422943419095,3.4502884462118266,7.891851736235573,5.189484578710628,3.259496206972584,24,3.259496206972584,7.891851736235573,5.189484578710628
services_volume_index_ma6_clean,"Índice de volume de serviços, média móvel limpa de 6 meses","Serviços, MM6",Consumo das famílias,monthly,ma6_clean,TRUE,,19,31,,2.8934298203466224,-0.0015237179924884328,,2.9424878948706095,0.03172474671650605,,54.97516658658583,-0.047235257767141416,,3.298551705842042,0.37592564433006415,24,0.37592564433006415,,3.2985517058420424
