scm_rmspe_event,scm_rmspe_post,scm_rmspe_pre,augmented_rmspe_event,augmented_rmspe_post,augmented_rmspe_pre,scm_mean_gap_event,scm_mean_gap_post,scm_mean_gap_pre,augmented_mean_gap_event,augmented_mean_gap_post,augmented_mean_gap_pre,n_periods_event,n_periods_post,n_periods_pre,scm_rmspe_crisis,augmented_rmspe_crisis,scm_mean_gap_crisis,augmented_mean_gap_crisis,n_periods_crisis,outcome,donor_count,family,specification,status,skip_reason
98.68484879192935,81.58701439780404,64.5078749608362,31.06595974303808,85.12489605713004,39.161307137742874,98.68484879192935,15.99996123737495,26.147116301926328,31.06595974303808,16.890140300849037,8.569063036794567,1,12,37,98.68484879192935,31.06595974303808,98.68484879192935,31.06595974303808,1,formal_hiring_balance_per_100k_wap,24,monthly,raw,estimated,
20.280860529741332,30.381679718261648,31.13771745786859,51.645254204269456,33.47208548143075,22.64318709171192,-20.280860529741332,6.249358788318693,10.222872661842011,-51.645254204269456,6.218246657451815,-3.4085411920856155,1,12,37,20.280860529741332,51.645254204269456,-20.280860529741332,-51.645254204269456,1,formal_hiring_balance_construction_per_100k_wap,24,monthly,raw,estimated,
3.666557937185914,4.9673261640037145,5.429446743731375,10.160810436072154,9.608012498446273,3.735446227283817,-3.666557937185914,2.3666304934849847,-0.4464499035656582,10.160810436072154,8.674112849310449,0.3255277981480493,1,12,37,3.666557937185914,10.160810436072154,-3.666557937185914,10.160810436072154,1,retail_volume_index,24,monthly,raw,estimated,
6.283097102299934,6.221363546825624,5.041916915123111,7.493098699107151,5.48934895656485,3.2845990009668262,-6.283097102299934,4.090232566069466,-0.1175250696944889,-7.493098699107151,3.121525228273003,-0.1077652595437676,1,12,37,6.283097102299934,7.493098699107151,-6.283097102299934,-7.493098699107151,1,services_volume_index,24,monthly,raw,estimated,
,36.63838053788267,34.955942891434965,,41.714430305520914,6.051580305536274,,12.688813485134222,18.733847111877783,,21.74111208470955,0.42203880307085695,0,7,32,,,,,0,formal_hiring_balance_per_100k_wap_ma6_v5,24,monthly,ma6_v5,estimated,
,17.155798765800647,18.566675527308288,,13.22640830336114,3.623136421573252,,7.719437320146942,7.657503527545227,,2.356368179820492,-0.09300242341731403,0,7,32,,,,,0,formal_hiring_balance_construction_per_100k_wap_ma6_v5,24,monthly,ma6_v5,estimated,
,2.7605749130515784,3.3168654704548417,,8.098311401837249,0.589042222615043,,2.392585708013243,-0.5293431853211659,,7.906058775465892,-0.01051794185309074,0,7,32,,,,,0,retail_volume_index_ma6_v5,24,monthly,ma6_v5,estimated,
,6.07376685006765,3.2415149828014362,,3.7015092718396345,0.3753293470448396,,5.971075148702157,0.06391010682542353,,3.5415207820055405,0.008752002977458595,0,7,32,,,,,0,services_volume_index_ma6_v5,24,monthly,ma6_v5,estimated,
,36.58029145316847,34.93005017866543,,41.692958605128446,5.720492512377,,12.58241911321946,18.653607741292376,,21.74732690773416,0.42344200703845003,0,7,32,,,,,0,formal_hiring_balance_per_100k_wap_ma6_v5,24,monthly,ma6_v5_instability,estimated,
,17.294103661309194,18.488066101257008,,14.168177896386004,3.3516500165632825,,8.303979424832445,7.789332926305475,,3.5966904713002634,0.1554416752367552,0,7,32,,,,,0,formal_hiring_balance_construction_per_100k_wap_ma6_v5,24,monthly,ma6_v5_instability,estimated,
