scm_rmspe_crisis,scm_rmspe_post,scm_rmspe_pre,augmented_rmspe_crisis,augmented_rmspe_post,augmented_rmspe_pre,scm_mean_gap_crisis,scm_mean_gap_post,scm_mean_gap_pre,augmented_mean_gap_crisis,augmented_mean_gap_post,augmented_mean_gap_pre,n_periods_crisis,n_periods_post,n_periods_pre,outcome,donor_count,family,specification,status,skip_reason
77.84357365397591,80.13984007591404,63.114656570208076,42.87313072798875,86.03079193210795,41.56676842735014,77.45178394235717,31.0889724674623,22.158868699923584,36.08041585460413,25.068131402421155,5.586528175068141,2,24,36,formal_hiring_balance_per_100k_wap,26,monthly,raw,estimated,
8.6015917881955275,9.578446776044933,5.571919301385907,8.051935239953899,8.554306152198597,2.8056117493393473,-8.514731772543776,-6.937989896900849,-0.40995035451673484,5.0864114538708805,-5.148646824251993,0.25887304437967945,2,24,36,retail_volume_index,26,monthly,raw,estimated,
4.520559578100294,6.558393375476272,5.648702521372435,5.0067572764777495,6.571073212684313,2.860737243026546,2.5440002338491112,-3.891341291886304,-1.343943056587501,2.4982899954977142,-1.7665409432130126,0.09376046709937885,2,24,36,services_volume_index,26,monthly,raw,estimated,
,46.836153103826895,32.90739845723437,,44.69647519339047,4.364426794600798,,34.58392877743687,13.643373787959598,,25.526137710727795,-0.11349782227789008,,19,31,formal_hiring_balance_per_100k_wap_ma6_clean,26,monthly,ma6_clean,estimated,
,6.943634505683109,4.069937741816961,,5.292293050857846,0.28834307320229013,,-6.298046619046224,-0.2215042381517222,,-3.5984930945504203,0.013577148412919416,,19,31,retail_volume_index_ma6_clean,26,monthly,ma6_clean,estimated,
,5.161969806924237,3.927288429310675,,4.444207085261146,0.2596434336052905,,-4.024767057900344,-1.2780444417101386,,-1.7425545125234625,0.006250480570757543,,19,31,services_volume_index_ma6_clean,26,monthly,ma6_clean,estimated,
320.93546012149125,56.477652631090876,99.68051867048413,304.54013727453776,91.37596431418804,21.801227913948217,-320.93546012149125,-9.06441788315818,-19.811781000443705,-304.54013727453776,58.229739614022925,-2.060454957943151,1,12,23,state_tax_revenue_real_pc,26,bimonthly_fiscal,raw,estimated,
38.43938430987865,37.83959311139226,45.78551794691919,41.05016812304146,42.72149357040791,22.55342624454795,-38.43938430987865,-4.263960187111742,-5.111976485789957,-41.05016812304146,-5.784593447369193,-3.4230738345686897,1,12,23,public_investment_liquidated_real_pc,26,bimonthly_fiscal,raw,estimated,
1329.8930808473892,313.9027314630936,476.7832376283201,1510.172613475771,385.47236069435655,146.1162060600156,-1329.8930808473892,-160.0979174726042,91.06440376434958,-1510.172613475771,-87.69009154327294,-17.225029533721692,1,11,19,liquidated_expenditure_total_real_pc,26,bimonthly_fiscal,raw,estimated,
,23.710585311412025,76.52013773495834,,31.117287241762956,3.6978004310999713,,-13.924057101946005,-12.494768804475004,,16.452502446698126,-0.25094596151250526,,9,20,state_tax_revenue_real_pc_ma4_clean,26,bimonthly_fiscal,ma4_clean,estimated,
,17.852028109712734,13.770109082936075,,18.657619725332125,2.768762800131817,,-13.905597723795378,-1.7516243991872993,,-14.384319538557756,0.14953737224439861,,9,20,public_investment_liquidated_real_pc_ma4_clean,26,bimonthly_fiscal,ma4_clean,estimated,
,268.01980733979997,142.12807920193276,,197.13801604460465,26.70390697461666,,-234.6235677366462,52.89520122503903,,-160.43356948567512,2.8816744867490685,,9,20,liquidated_expenditure_total_real_pc_ma4_clean,26,bimonthly_fiscal,ma4_clean,estimated,
,,,,,,,,,,,,,,,formal_hiring_balance_per_100k_wap_ma6_visual,,monthly,ma6_clean_visual,visual_only,
,,,,,,,,,,,,,,,retail_volume_index_ma6_visual,,monthly,ma6_clean_visual,visual_only,
,,,,,,,,,,,,,,,services_volume_index_ma6_visual,,monthly,ma6_clean_visual,visual_only,
,,,,,,,,,,,,,,,state_tax_revenue_real_pc_ma4_visual,,bimonthly_fiscal,ma4_clean_visual,visual_only,
,,,,,,,,,,,,,,,public_investment_liquidated_real_pc_ma4_visual,,bimonthly_fiscal,ma4_clean_visual,visual_only,
,,,,,,,,,,,,,,,liquidated_expenditure_total_real_pc_ma4_visual,,bimonthly_fiscal,ma4_clean_visual,visual_only,
