state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
AC,2014-05-01,2014,5,87.9151340274167,119.420337825453,-23.5563665452831,-1.99655992788416,4.89008148110341,4.94235896901369,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-36,82594338,322,790101,,,104.53643015260074,,,
AC,2014-06-01,2014,6,84.5860585694267,111.154797975157,-1.39543337359106,-2.98666661617432,4.91262414099583,4.95853219003077,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-35,85727047,369,790101,,,108.50137767196853,,,
AC,2014-07-01,2014,7,84.9622660216381,117.304708368572,13.3296427524124,22.2107734427662,4.78993645370298,4.84988783743492,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-34,76502726,412,790101,,,96.82651458484422,,,
AC,2014-08-01,2014,8,87.4197737109321,117.1012578781,-6.6634059848042,-7.28115004811037,4.77871379750366,4.83927946501494,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-33,74448253,267,790101,,,94.22624828977561,,,
AC,2014-09-01,2014,9,88.2634679339648,115.987230746996,-23.002791174459,-19.0196182954191,4.74159698874263,4.82729034670133,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-32,73926939,-90,790101,,,93.56644150557966,,,
AC,2014-10-01,2014,10,86.9032433550252,118.26528080698,-17.9124857263779,-34.7126274990154,4.79269440102569,4.84882854158159,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-31,79842059,-385,790101,86.67499060306727,4.462165383155359,101.05297803698514,598.7099902417539,6.394777324349217,1.1327665703498666
AC,2014-11-01,2014,11,87.8777145007223,116.797793151312,-33.9192716096533,-36.5718802881197,4.71298115014377,4.78189985925433,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-30,78383597,-525,790101,86.66875401528486,4.462093426849132,99.20705960377218,593.3806196929254,6.385836047554127,0.06075172667798168
AC,2014-12-01,2014,12,92.718285898549,115.210585900844,-1.9902941145181,-21.2969871675034,4.6976921206821,4.76720916944753,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-29,80801401,-685,790101,88.02412523680525,4.477610927324089,102.2671797656249,587.1464217865818,6.375274229585898,-1.2732549382926992
AC,2015-01-01,2015,1,87.6983643067326,115.762687812428,-43.4028872543107,-31.6309348378157,4.87644823708708,4.94216267840583,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-28,88634593,-466,803513,88.48014161765434,4.482778138333937,110.30884752331325,600.6287547250507,6.397977031068265,-2.3447038193532648
AC,2015-02-01,2015,2,85.5781761293324,113.151798441881,-54.6441596768049,-29.6314843924086,4.84891633258916,4.91727378325377,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-27,83833023,-577,803513,88.17320868738771,4.479303160490608,104.333125910844,610.7356323461191,6.414664185253887,-3.3950913053055767
AC,2015-03-01,2015,3,87.7233916928863,115.124456033315,-23.4620430232084,-17.0589392093782,4.83495705365558,4.89353861871922,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-26,91002220,-500,803513,88.0831959805413,4.478281776730497,113.25544204014123,630.4246328806807,6.446393612781342,-3.9053506290501834
AC,2015-04-01,2015,4,85.1573183706114,115.484442125786,0.138348029204957,-19.7286139320682,4.64553449623802,4.7217398108296,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-25,70960402,95,803513,87.792208483139,4.4749727550534,88.31269935894005,617.6843542026356,6.425977573261163,-3.307973859788205
AC,2015-05-01,2015,5,86.1185277519687,115.84800595683,-37.847434639029,-24.8164230689949,4.6222649608557,4.6906931068377,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-24,68546373,193,803513,87.49901069168007,4.471627486918852,85.30835593201354,603.785650530877,6.403219251721835,-2.4143977757671626
AC,2015-06-01,2015,6,82.878915396394,107.130309179947,-30.496562797579,-20.3287546736022,4.61950621753035,4.69511643234762,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-23,69205599,95,803513,85.85911560798758,4.452707762347227,86.12878571970833,587.6472564849604,6.37612686394712,-1.4436605257164477
AC,2015-07-01,2015,7,80.8941445451624,110.304677555677,-48.9005475168562,-24.6568556469721,4.66240774406284,4.75787569530306,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-22,74905658,-83,803513,84.7250789810592,4.439411649697569,93.22270828225554,570.5611172439027,6.346620292826081,-0.9670036452428274
AC,2015-08-01,2015,8,81.618525231726,112.044153309215,108.511072927962,-16.5012021968671,4.75265279235428,4.81811876208559,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-21,80824692,1179,803513,84.06513716479147,4.431591940781157,100.58915288240514,566.8171442154638,6.340036754739929,1.2183997023072433
AC,2015-09-01,2015,9,79.5782118049097,113.713904025746,-31.3880327832469,-12.1805797163949,4.71763488595639,4.78157477641696,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-20,80061937,-122,803513,82.70760718346203,4.415311583089005,99.6398776373251,553.2015798126477,6.315722455557761,1.6888339081010513
AC,2015-10-01,2015,10,78.9449048895237,111.012644912396,-69.0542321865885,-7.81408264394113,4.61784418474671,4.72337121853159,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-19,74972934,-733,803513,81.67220493661408,4.402713735127623,93.30643561460735,558.195316068315,6.324708929931787,0.6583589811241386
AC,2015-11-01,2015,11,75.9531554855012,109.044101371157,-53.8131264866017,-4.07255331017065,4.8100796979515,4.87222976863424,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-18,97590891,-754,803513,79.97797622553617,4.381751299591858,121.45527328120392,594.3422334175054,6.38745530398617,-0.5202156032323061
AC,2015-12-01,2015,12,78.8560644774014,104.808271539959,-45.7439680888023,-20.1543213261072,4.73222383240165,4.79293722436915,FALSE,TRUE,FALSE,pre,TRUE,2016-01-25,2017-05-04,,-17,98639314,-973,803513,79.30750107237074,4.373332715243903,122.76007233237048,630.9735200301675,6.447263896573756,-1.849378914840208
