donor_state,coefficient
AL,-0.7682456060915871
PB,0.37275365191977666
GO,0.37074598130387787
PA,-0.3355183611048657
SP,0.31789090489392513
SC,0.3108426172779738
DF,0.2973528658762621
MG,-0.2732924046103163
PR,-0.24502867726345404
MA,-0.22738438328931163
PI,0.21352993274725407
RJ,0.20073787475759605
RN,0.1437576654193951
BA,0.1427282541001804
ES,0.13421984243781673
SE,0.11968096099924366
AP,-0.11960788519575001
RS,-0.10530793798932644
CE,0.07317051232993065
MT,-0.04322417335881934
MS,0.03378598628583019
PE,-0.0313335982655026
AC,0.02038545515002782
RO,-0.019005186147573523
