donor_state,coefficient
DF,0.13219208473007044
RJ,0.12208501819422174
GO,0.10062102898013667
SC,-0.09203865224684178
AP,-0.08912174643210707
MS,0.08150953318198098
CE,0.07924275240666681
AL,-0.07350404120079959
AC,0.06382163010074067
PI,0.06036902540634572
MA,0.058156827616842016
PB,0.05756906496574883
SE,0.05117564310624735
ES,0.05037438102121392
RN,0.05027677568114356
RO,0.04238438258666405
SP,0.03933918647469862
BA,-0.038340673224830375
PE,-0.038196633325866806
MG,0.034268036733710885
PR,0.029014459701873004
PA,0.025123004205037387
MT,0.010471395298201992
RS,-0.007452202183956156
