Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,111.94,111.46,2.93,36
Formal hiring,68.50,70.30,83.41,36
Construction,10.82,10.15,11.06,36
ICMS,4.91,4.95,0.12,36
Tax revenue,5.05,5.08,0.11,36
