donor_state,scm_weight,outcome
AM,0.4398772423510507,Retail volume
ES,0.4346130756250605,Retail volume
MS,0.09928810683962236,Retail volume
RS,0.0262215751842653,Retail volume
AL,3.5168738714171523e-16,Retail volume
GO,0.42837693559968326,Formal hiring
SC,0.2649109779053986,Formal hiring
RJ,0.22947211546279173,Formal hiring
SE,0.04248695714669232,Formal hiring
ES,0.0347530138854334,Formal hiring
SC,0.4217413236619333,Construction
MS,0.2939291524966422,Construction
SP,0.08841779662516518,Construction
RO,0.08091968363032623,Construction
MT,0.05253556792580662,Construction
SC,0.41640212524035025,ICMS
MS,0.28622908175810635,ICMS
SP,0.10407086545793268,ICMS
ES,0.09508993140633208,ICMS
AC,0.04924499881985313,ICMS
MS,0.4000778892029763,Tax revenue
SC,0.3454509576683638,Tax revenue
SP,0.1654399440439405,Tax revenue
ES,0.06119477073570914,Tax revenue
AC,0.027836438349007422,Tax revenue
