pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.03959007228708586,0.09681625695810593,2.4454680520926213
AL,0.012226547519592224,0.09474308246035526,7.748964481472452
AP,0.021573388076916212,0.04526766086500019,2.098310228491052
BA,0.015354702753896374,0.10970538113767964,7.144741444756464
CE,0.019855150140619473,0.0734753358602137,3.7005681316858223
DF,0.046784718659285456,0.1304075248236233,2.7873957257994766
ES,0.03584894572119231,0.06973415612270521,1.9452219505992745
GO,0.010153485170082197,0.023537839982556798,2.3182030197781094
MA,0.039960745658836935,0.052672844792008865,1.3181146628669271
MG,0.01520766917538502,0.10756207035320284,7.072883366459714
MS,0.025024806469386568,0.07803233726547863,3.1181994298712126
MT,0.033581319929997536,0.11591147962653282,3.4516653862372864
PA,0.020582075070237835,0.09742115801326426,4.733301072938828
PB,0.01699250482742225,0.0609257652761895,3.5854493433992385
PE,0.01395454331486766,0.11780848324263231,8.442303025217244
PI,0.021803315486017927,0.058847670696568516,2.699023950477003
PR,0.021567010869478088,0.049265325438712315,2.2842908429388906
RN,0.01474939842490367,0.04596411813045448,3.116338497768574
RO,0.020342269487419833,0.05410636731431998,2.6597999474827874
RS,0.021856713429500595,0.04894023533068105,2.2391397264981796
SE,0.01971219978663603,0.039311754476699996,1.9942855136518842
SP,0.0215940313808533,0.061544981814984426,2.850092265289301
