period,period_date,year,bimester,uf,state_abbrev,state_name,macroregion,total_revenue_nominal,total_revenue_real,state_tax_revenue_nominal,state_tax_revenue_real,federal_current_transfers_nominal,federal_capital_transfers_nominal,federal_transfers_nominal,federal_transfers_real,transfer_dependency_ratio,own_revenue_ratio,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,liquidated_expenditure_health_nominal,liquidated_expenditure_health_real,liquidated_expenditure_education_nominal,liquidated_expenditure_education_real,liquidated_expenditure_public_security_nominal,liquidated_expenditure_public_security_real,public_investment_liquidated_cumulative_nominal,public_investment_liquidated_nominal,public_investment_liquidated_real,public_investment_flow_is_derived,public_investment_negative_flow_flag,ipca_month_code,deflator_base_month,source_system,source_frequency,fiscal_series_version,social_expenditure_share_real,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,analysis_period,post_treatment,treated_post,fiscal_main_window
2015B1,2015-02-01,2015,1,31,MG,Minas Gerais,Southeast,11635064618.22,21243695946.921345,8412948470.3,15360646905.243591,,,0,0,0,0.723068478461709,9730096018.68,17765539611.314213,625568914.66,1142184960.1137598,959026387.62,1751022933.8795402,1730876315.55,3160292733.7155614,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3407439773939437,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,50,MS,Mato Grosso do Sul,Center-West,1858232663.26,3392824276.636682,1224456633.55,2235654487.2637377,,,0,0,0,0.6589361266537357,1592057098.43,2906831894.704072,62325227.71,113795516.46155216,151123174.56,275925822.17882925,163168480.03,297918549.79907477,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.23655990898278653,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,51,MT,Mato Grosso,Center-West,1845394069.75,3369383136.783839,856919535.79,1564592777.6621766,,,0,0,0,0.4643558521384481,1416351506.57,2586022660.537675,144571750.48,263964009.69719377,210634367.11,384583377.719273,185265221.99,338263531.3714791,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.38159407256809275,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,15,PA,Para,North,3332893803.96,6085310646.563145,1671031524.42,3051026082.5633287,,,0,0,0,0.5013755681127772,3120095956.37,5696777112.741409,285838398.56,521893451.2365889,438026306.95,799763300.5859679,293324707.23,535562207.7384855,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.32601222108675926,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,25,PB,Paraiba,Northeast,1499738052.97,2738272647.616514,588490879.41,1074486624.6935363,,,0,0,0,0.39239577754567506,1084802956.91,1980670063.7338493,114666995.98,209362893.77640247,140729604.59,256948889.30473304,137936090.65,251848396.72371936,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3625844571260996,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,26,PE,Pernambuco,Northeast,4386420693.82,8008875805.371475,2356130239.58,4301902573.244312,,,0,0,0,0.5371418758122167,3577110467.52,6531209721.134329,627108666.42,1144996291.1459875,362723087.27,662272125.831248,294865594.75,538375612.479876,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3591438844578588,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,22,PI,Piaui,Northeast,1179640780.02,2153828180.557868,387072102.18,706729383.8120143,,,0,0,0,0.3281270949054826,766725932.28,1399914234.6377423,72895314.5,133094739.73769093,107833492.57,196886051.2785136,29332983.51,53557157.037760355,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.2739724610009509,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,41,PR,Parana,South,6006389753.43,10966670306.304796,3653818052.48,6671265033.690228,,,0,0,0,0.6083218376552164,5508208775.23,10057074564.924225,352028250.87,642745130.482388,1160668213.41,2119187424.3935752,451645902.29,824630420.092119,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.3566208992301635,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,33,RJ,Rio de Janeiro,Southeast,8197617493,14967488297.207048,4939869908,9019382168.154455,,,0,0,0,0.602598244211588,9324751972,17025448690.969845,301807802,551050930.1389261,808543889,1476266879.5805173,1191975178,2176348743.0964823,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.24690489097332954,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
2015B1,2015-02-01,2015,1,24,RN,Rio Grande do Norte,Northeast,1575364422.84,2876353840.957877,754902470.07,1378326555.972355,,,0,0,0,0.4791922802909907,991525503.99,1810360923.7714703,111464379.41,203515447.72602883,160360623.77,292791870.5233369,100852540.11,184139991.2997904,,,,,,201502,202604,Siconfi/RREO,bimonthly,rreo_annex01_02_06_v1,0.37586279101274495,rr_2018_01,FALSE,TRUE,FALSE,FALSE,pre,FALSE,FALSE,TRUE
