period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,post_2020_caged_dummy,caged_method_break_dummy,retail_volume_index,retail_nominal_revenue_index,services_volume_index,services_nominal_revenue_index,pnadc_period_date,pnadc_period,pnadc_population,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,pnadc_transition_quarter,pilot_id,treated_unit,donor_pool_main,excluded_from_main_donor_pool,transition_period,pnadc_predictor_valid,analysis_period,post_treatment,treated_post,caged_break_control,monthly_main_window,monthly_pre_2020_robustness_window
2016-01-01,2016,1,31,MG,Minas Gerais,Southeast,-16418,0,0,85.40645,57.47187,83.0493,64.30538,2016-01-01,2016Q1,16685000,0.113,3224,0.373,0.627,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,50,MS,Mato Grosso do Sul,Center-West,-163,0,0,83.1049,56.95497,102.6961,76.67757,2016-01-01,2016Q1,2021000,0.078,3516,0.359,0.641,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,51,MT,Mato Grosso,Center-West,6900,0,0,79.15995,55.16856,78.9969,61.53665,2016-01-01,2016Q1,2556000,0.093,3340,0.3670000000000001,0.633,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,15,PA,Para,North,-4470,0,0,74.93743,55.23024,97.44292,77.9392,2016-01-01,2016Q1,5994000,0.101,2234,0.607,0.393,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,25,PB,Paraiba,Northeast,189,0,0,90.30122,62.56366,112.78097,88.4014,2016-01-01,2016Q1,3058000,0.103,2353,0.525,0.475,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,26,PE,Pernambuco,Northeast,-13410,0,0,103.06802,71.18195,96.87329,75.90702,2016-01-01,2016Q1,7264000,0.134,2619,0.475,0.525,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,22,PI,Piaui,Northeast,-2309,0,0,93.38402,63.57002,115.81089,91.23534,2016-01-01,2016Q1,2544000,0.096,2226,0.595,0.405,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,41,PR,Parana,South,1074,0,0,95.15102,64.22763,94.39411,66.2907,2016-01-01,2016Q1,8952000,0.081,3664,0.32,0.6799999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,33,RJ,Rio de Janeiro,Southeast,-25549,0,0,101.97932,72.27675,106.45215,87.47294,2016-01-01,2016Q1,14009000,0.102,3918,0.317,0.683,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,24,RN,Rio Grande do Norte,Northeast,-2944,0,0,96.84916,63.55692,122.76157,96.16393,2016-01-01,2016Q1,2626000,0.145,2543,0.45,0.55,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,11,RO,Rondonia,North,-1501,0,0,86.22827,71.36278,124.35596,103.38392,2016-01-01,2016Q1,1254000,0.076,2671,0.467,0.5329999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,14,RR,Roraima,North,-84,0,0,75.68497,54.7796,91.66461,76.22935,2016-01-01,2016Q1,348000,0.084,3286,0.44,0.56,FALSE,rr_2018_01,TRUE,FALSE,TRUE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,43,RS,Rio Grande do Sul,South,7263,0,0,78.88376,53.34012,95.59238,74.18613,2016-01-01,2016Q1,9101000,0.076,3875,0.322,0.6779999999999999,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,42,SC,Santa Catarina,South,7211,0,0,71.9263,48.2274,93.23744,70.86466,2016-01-01,2016Q1,5681000,0.061,3662,0.271,0.729,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,28,SE,Sergipe,Northeast,-421,0,0,121.23088,80.61294,125.67314,98.48593,2016-01-01,2016Q1,1723000,0.116,2531,0.516,0.484,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
2016-01-01,2016,1,35,SP,Sao Paulo,Southeast,-27056,0,0,88.80287,59.62657,80.67515,66.56003,2016-01-01,2016Q1,36040000,0.122,4706,0.267,0.733,FALSE,rr_2018_01,FALSE,TRUE,FALSE,FALSE,TRUE,pre,FALSE,FALSE,0,TRUE,TRUE
