Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.35,4.35,0.01,31
Emprego formal 6m (per 1k),0.36,0.26,0.68,31
ICMS CONFAZ 6m pc (log),6.59,6.59,0.02,31
