Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.72,4.72,0.01,31
Emprego formal 6m (per 1k),4.64,4.73,1.45,31
ICMS CONFAZ 6m pc (log),6.62,6.62,0.01,31
