Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.014,1 / 24,0.042
Emprego formal 6m (per 1k),-1.865,1 / 24,0.042
ICMS CONFAZ 6m pc (log),-0.064,2 / 24,0.083
