outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,2.722942751669553,23,24,24,1
formal_hiring_6m_per1k,1.4352668597948495,23,17,24,0.7083333333333334
icms_conf6m_pc_log,6.276902919964043,23,11,24,0.4583333333333333
