state_abbrev,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.11825169478003812,0.5017051271620189,2687.168548104196,0.32654002578760655,267.9817107845537,352.4841284680397,156.72525603873268,TRUE,FALSE,
AL,0.1418800877790833,0.5350617533996954,2135.720475111083,0.25674998941071475,102.45850338698024,75.09025672844835,87.755535412171,FALSE,TRUE,treated_unit
AM,0.12396832263766867,0.4296692197173827,2582.3324152938426,0.13140713782089877,174.95592508421828,165.88602532581942,107.56088932826636,TRUE,FALSE,
AP,0.14788988492698313,0.499142106933849,2919.086182025979,0.34540745197315964,237.75607007767096,306.3241327223864,160.63576349148536,TRUE,FALSE,
BA,0.15280986115506667,0.4565732963871814,2161.3983068645384,0.16187047689807726,117.00622165079778,87.40870755194159,69.25575591150456,TRUE,FALSE,
CE,0.10554641628083924,0.4603255645378554,2193.200528280082,0.1933762219263091,97.6629151698862,85.58453108057684,68.33857651050883,TRUE,FALSE,
DF,0.1174773468352739,0.7139262991417601,5905.047007507935,0.0626678171774814,342.72823830091113,431.29206083796254,64.98680875931225,TRUE,FALSE,
ES,0.0996137448433708,0.6036271062271084,3119.9995561007618,0.1997295493495522,166.27109792590207,91.77453374611788,83.70555093388832,TRUE,FALSE,
GO,0.08812326903994457,0.601371064103497,3090.227892751782,0.08219377001507629,138.98082800304672,154.08469973130792,104.81135213061224,TRUE,FALSE,
MA,0.11957959215946,0.3915292733317262,1790.299107565406,0.28640153312356564,80.05647260868929,86.69888785252476,55.833605146355296,TRUE,FALSE,
MG,0.09621115081237996,0.6125006941739899,2902.6967632947485,0.05721796473685133,86.70580326391872,114.2283331889814,171.72371391879494,TRUE,FALSE,
MS,0.0708652067818866,0.6369001379900269,3312.767599499497,0.08075520123954547,108.8696649074269,154.21377410048092,111.61764988245262,TRUE,FALSE,
MT,0.07076708524745275,0.614177871532834,3318.173046712908,0.096271009234812,127.62709984207444,181.28969258135515,151.75403087467288,TRUE,FALSE,
PA,0.09904371385180707,0.3868229603794344,2212.995342737485,0.16927538941904144,90.05509646813793,104.11639982109618,78.55890802430439,TRUE,FALSE,
PB,0.1136386703095492,0.4829521379200802,2297.8682281954766,0.24572079569602703,86.34610133301048,126.78672737636433,76.74175945728213,TRUE,FALSE,
PE,0.1392522284337558,0.5082759183258949,2524.6844137949297,0.16196342181392656,144.4371138902942,84.49532832975319,69.04059093387241,TRUE,FALSE,
PI,0.10415096502787888,0.4199460946485451,2039.6555615450025,0.2675243839153095,130.4426358938948,108.51178041142632,52.395970600562755,TRUE,FALSE,
PR,0.07122855974378721,0.6698813844634726,3552.4060895705848,0.07472459923194213,100.10540458872502,204.98933399054587,77.72656678208176,TRUE,FALSE,
RJ,0.12052609300321306,0.6409429421373551,3721.8657308738434,0.04082581697690034,88.9198031071493,94.25620561249713,139.0356339087938,FALSE,TRUE,coded_removal_in_scm_window:RJ_2020_01
RN,0.13153069963642264,0.5396529347434373,2424.229685660403,0.23425753277173583,100.17201679388882,99.0940689921961,69.14525505021474,TRUE,FALSE,
RO,0.07300202270867637,0.5108168716236676,2686.2445890743484,0.2161751926814204,149.38735167664854,163.45901463414717,126.2393519007534,TRUE,FALSE,
RR,0.1032865244116276,0.5447562701236883,3205.056927642636,0.3373362781852513,303.5780760593683,288.9417555942847,158.7610506639436,FALSE,TRUE,coded_removal_in_scm_window:RR_2018_01
RS,0.07183742376318783,0.6742378737631496,3587.4342982700377,0.06867257870995631,136.29540595767168,88.57586962309824,94.89181125321755,TRUE,FALSE,
SC,0.05075115724031675,0.7310462944979425,3594.352611736046,0.05936716614053908,117.0574285727502,126.74581652205735,79.52602613171338,FALSE,TRUE,"coded_removal_in_scm_window:SC_2020_01,SC_2021_01"
SE,0.13640316273398198,0.47455938697301064,2415.545343733495,0.28025465213614675,140.0158513931384,112.01759060589534,104.70246350023054,TRUE,FALSE,
SP,0.1096679541245129,0.7015169402876693,4292.838746704994,0.04672917250446699,132.23636035023833,184.98029448316888,63.657387201313526,TRUE,FALSE,
TO,0.0996049045856995,0.5571391872378073,2670.8922075735077,0.27926203737327127,261.5414148386903,189.0078264889942,140.5176439743208,FALSE,TRUE,coded_removal_in_scm_window:TO_2021_01
