state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,caged_balance,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log,formal_hiring_6m_per1k
AC,2019-10-01,2019,10,88.4010600135772,91.9114091350012,-36.9099560046557,-17.076364052959,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-36,124538622.25,-367,881935,,,141.21065866532115,,,
AC,2019-11-01,2019,11,91.3282924761125,90.7740510457369,-55.5081822244794,-4.34724146194416,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-35,117492054.82,-613,881935,,,133.22076436472074,,,
AC,2019-12-01,2019,12,93.5859769658984,87.1772800068774,21.4020190213276,30.1141658101489,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-34,127597337.36,-559,881935,,,144.67884522101969,,,
AC,2020-01-01,2020,1,94.4621349511928,86.497996773616,54.3303207875538,-8.87563285337387,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-33,120702424.49,138,894470,,,134.94295447583485,,,
AC,2020-02-01,2020,2,97.260143810783,95.5898155630556,79.2418802713328,6.59767380175056,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-32,103170994,953,894470,,,115.34315740047178,,,
AC,2020-03-01,2020,3,82.7428908939696,89.309644050516,22.5269039268304,-3.81671592851824,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-31,105922733.24,110,894470,91.29674985192224,4.514115188412211,118.41954815700917,787.8159282843774,6.669264469022912,-0.37787740226055655
AC,2020-04-01,2020,4,70.5531535013635,74.1898565357752,-56.4867584832167,-5.54260301526059,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-30,100494964.36,-564,894470,88.3220987665533,4.480990345454702,112.35140849888761,758.9566781179439,6.6319446981881764,-0.5981195568325377
AC,2020-05-01,2020,5,75.600216304337,70.4714273785373,-41.6146944399708,-5.69583254139846,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-29,77434978.87,-112,894470,85.70075273792405,4.4508616089715085,86.57079485058192,712.306708603805,6.5685085891679575,-0.03801133632206782
AC,2020-06-01,2020,6,87.1710295182748,75.8414378919765,-32.3291624457862,-5.70226970315344,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-28,89821973.03,-43,894470,84.63159482998678,4.438307658240208,100.41921252808926,668.0470759108746,6.504358643974017,0.5388665913893144
AC,2020-07-01,2020,7,96.9102273718827,75.8961361889809,-2.4186259982145,-1.26562188896725,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-27,104081117.18,192,894470,85.0396102334351,4.4431171506910525,116.36065735016267,649.4647787852024,6.476148606441949,0.5992375373125985
AC,2020-08-01,2020,8,113.147622694224,82.491271429414,40.7448902123444,6.67853100137094,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-26,118924653.35,641,894470,87.68752338067526,4.473779624498998,132.95544104329937,667.07706242803,6.502905575115976,0.25042762753362324
AC,2020-09-01,2020,9,105.579693722607,84.6413639714279,31.4370875276225,5.14469389089558,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-25,132140507.28,525,894470,91.49365718544817,4.5162696495010914,147.73050776437444,696.3880220353952,6.545907007911818,0.7143895267588628
AC,2020-10-01,2020,10,104.345833578435,82.7246366407285,72.0091857660148,7.24163353124985,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-24,136564013.97,661,894470,97.12577053162676,4.5760067420579045,152.67590189721287,736.7125154337206,6.602197742052298,2.083915614833365
AC,2020-11-01,2020,11,110.805511305181,93.7210483692939,65.3093394592212,0.919529842476823,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-23,142485767.98,516,894470,102.99331969843408,4.634664128829554,159.29630728811475,809.4380278712533,6.6963402141293775,2.7860073563115586
AC,2020-12-01,2020,12,100.667780202011,92.3336714089619,56.0311415759659,3.41381342846505,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-22,142667063.07,-441,894470,105.24277814572345,4.65626985401564,159.49899165986562,868.5178070030297,6.76678808864084,2.341051125247353
AC,2021-01-01,2021,1,98.5778624023827,95.791840715531,75.3233341472538,13.0199766537733,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-21,150134499.61,369,906876,105.52071731747345,4.658907306315005,165.5512987552874,917.7084484081545,6.821879745850103,2.504201235891125
AC,2021-02-01,2021,2,85.8955278826214,91.2118614823911,80.0198936920586,4.25310590041222,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-20,131953893.41,861,906876,100.97870151553968,4.614909618520007,145.50378818052303,930.256795545378,6.835460672274361,2.7467922847224977
AC,2021-03-01,2021,3,97.218967959096,89.7922181304321,7.64742802422124,8.80923913949239,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-19,135537551.48,35,906876,99.58524722162119,4.601014033354815,149.455439861679,931.9817276426827,6.837313208959798,2.206475857779895
AC,2021-04-01,2021,4,95.2892973133068,98.55053957563,47.8186894154707,-17.4876691298731,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-18,123067184.32,356,906876,98.07582451076648,4.5857408990015625,135.70453327687576,915.0103590223456,6.8189353865473326,1.8701564491727645
AC,2021-05-01,2021,5,100.903314861577,95.1498642721537,120.381583701461,9.70774089579566,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-17,124335691.32,1355,906876,96.42545843683249,4.56877025841882,137.10329892951185,892.8173506637427,6.794382025425376,2.7953104944887723
AC,2021-06-01,2021,6,102.149208427857,106.475030517428,80.5482331212055,7.83079592494746,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-16,138727168.24,1048,906876,96.67236314114015,4.571327561622439,152.97258747612685,886.2909464800039,6.787045278731109,4.437210820442927
AC,2021-07-01,2021,7,110.127977644799,103.243680399327,68.5278813116601,20.50475039984,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-15,123362814.15,899,906876,98.59738234820954,4.591044713063579,136.03052032471916,856.7701680494356,6.75316970065791,5.021634710809416
AC,2021-08-01,2021,8,97.4111529292165,102.428239942249,18.8905077875741,4.05984737127829,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-14,144185446.41,394,906876,100.51665318930873,4.610323417148049,158.99135759464357,870.2577374635562,6.768789417733386,4.506680075335548
AC,2021-09-01,2021,9,95.9354869871923,97.2747849339639,88.7476048384949,11.3490085558915,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-13,155572017.34,1028,906876,100.30273969399144,4.608193009589772,171.54717661510506,892.3494742169822,6.793857843090199,5.601647854833517
AC,2021-10-01,2021,10,97.9850133217857,97.0511223938242,98.7934389388785,49.5087561523284,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-12,153459919.2,968,906876,100.75202569540458,4.6126623067825285,169.21819432866235,925.8631352687688,6.830726421636812,6.276492045218972
AC,2021-11-01,2021,11,100.024198793912,94.148940606621,116.916618588427,30.2406219337801,FALSE,TRUE,FALSE,pre,TRUE,2022-10-11,2022-10-11,,-11,145227607.49,921,906876,100.60550635079375,4.611206991265082,160.14053463759103,948.9003709768481,6.8553038099342665,5.797926067069809
