Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log",-0.07,0.01,23
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident",-0.03,0.01,23
