outcome,short,channel,transform,gap_post,effect_label,mag_sd,persistence,pre_trend_p,pre_fit_corr,pre_fit_r2,poor_fit,inspace_rank,inspace_n_units,inspace_p,loo_rank,loo_p,loo_frac,tier,considerable
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.00625182358092259,-7.0%,0.09784854123680004,0.5789473684210527,0.13997270445119575,0.9949041078618199,0.9896275435028565,FALSE,8/24,24,0.3333333333333333,24/24,0.042,1,weak,FALSE
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.03737428611246315,-3.2%,0.44608064701695216,1,0.005481353520413947,0.997542350968699,0.9930765322746744,FALSE,5/24,24,0.20833333333333337,24/24,0.042,1,weak,FALSE
