Covariate,Treated,Varejo MA6 (log),ICMS CONFAZ 6m pc (log)
ICMS secondary VA pc, 7.105, 6.495, 5.812
ICMS tertiary VA pc,19.505,20.764,23.661
ICMS energy VA pc, 3.180, 3.440, 3.695
ICMS fuels VA pc, 4.372, 6.728, 7.475
FPE transfer pc,30.006,41.494,34.061
IOF-state pc, 0.000, 0.001, 0.000
