source_file,source_path,imported_at,source_sheet,metadata_line,first_period,last_period,rows_imported,rows_panel_ready
confaz_boletim_tributos_estaduais_20260330.xls,C:/Users/Usuario/OneDrive/paper-governor-removal-impacts/data/raw/confaz/confaz_boletim_tributos_estaduais_20260330.xls,2026-06-05 21:57:35,arrecadacao por setor ,"Dados de 01/1997 a 12/2023
Extração 4/02/2026 às 15:00",199701,202312,8748,8748
confaz_boletim_tributos_estaduais_20260330.xls,C:/Users/Usuario/OneDrive/paper-governor-removal-impacts/data/raw/confaz/confaz_boletim_tributos_estaduais_20260330.xls,2026-06-05 21:57:35,Planilha1,"Dados de 01/2024 a 03/2026 com pendencias.
Extração 30/03/2026 ás 15h",202401,202603,729,378
