state_abbrev,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.10419343773680094,0.4902619991020665,2682.9868875093057,0.10997353814072292,259.35179537604404,347.15110748047624,155.45281961213934,TRUE,FALSE,
AL,0.1311160714477359,0.5396100306460974,2107.378373936301,0.09103310110315718,86.67469358150426,65.10197800530077,86.9631840538402,TRUE,FALSE,
AM,0.11424537637312839,0.4419893746381038,2674.926276132137,0.039012730347096854,166.24866264344107,153.95998056684556,97.10636898438626,FALSE,TRUE,coded_removal_in_scm_window:AM_2017_01
AP,0.14383839830709735,0.5067287932355219,3003.518549934287,0.1235475433664459,206.57800953626142,300.1413539976482,153.01054129843646,TRUE,FALSE,
BA,0.13622198323027276,0.4537053724042246,2171.385202825478,0.06608704584096868,109.12529387711749,83.82265262416877,70.33748004369298,TRUE,FALSE,
CE,0.097501993909729,0.4550772983458625,2153.8267850705424,0.07350556502583294,89.46258115000165,85.57402072415469,60.26146899330084,TRUE,FALSE,
DF,0.10754305291466908,0.7292932972227403,6016.116778141938,0.007791381120441556,417.07462294102686,481.73081001797345,63.75247648613644,TRUE,FALSE,
ES,0.0938880525151844,0.6046639826488612,3106.12421745696,0.07425646752215641,156.05275436067149,83.6373283248459,86.42829828327382,TRUE,FALSE,
GO,0.07753580598668351,0.6023242657817964,3113.9372211651485,0.027175779372776328,125.40675461950524,163.61214672913246,106.31785265098387,TRUE,FALSE,
MA,0.10474538495235981,0.37873832373733185,1737.7719928745094,0.0947474440410226,71.93905682897402,91.77223984891229,55.27167195711141,TRUE,FALSE,
MG,0.09046623178351404,0.611957637620236,2913.8375090824047,0.018356943169798703,78.63488392651844,111.0857725781718,174.16169504689984,TRUE,FALSE,
MS,0.06453510346926482,0.6378635328990673,3249.1640121016944,0.026161739018372855,99.36636125154982,162.2750106892421,116.06058358785134,TRUE,FALSE,
MT,0.06693145558858456,0.6190452656390001,3298.2116140362878,0.031675119930685926,121.03279695197338,181.1030924539308,139.5887324196991,TRUE,FALSE,
PA,0.09325040341388073,0.3866239870118118,2186.801982001663,0.030148208330074273,80.8394062219043,102.44564388865533,74.50822114420644,TRUE,FALSE,
PB,0.10178746809883897,0.4786884028662026,2222.5694338530766,0.08022391230474123,81.50220543242581,121.88861462807957,72.82725736048734,TRUE,FALSE,
PE,0.1226922219594209,0.5199056150687215,2636.497152439151,0.05192165337081407,134.8898955038279,82.98386719572673,68.92397472810276,TRUE,FALSE,
PI,0.09190923715057765,0.41290170076645916,2021.7449051684289,0.08830581087850252,114.02608443148823,109.8959154494574,48.11082056546243,TRUE,FALSE,
PR,0.06508111159031521,0.6621513055208832,3541.4065409079894,0.0216290381720469,100.03760964917826,226.84646568123145,85.55276211870799,TRUE,FALSE,
RJ,0.10061423916402759,0.6505808391924484,3552.5210084636888,0.011295128654538212,83.70285777225057,96.25703986737535,140.99664616091442,FALSE,TRUE,coded_removal_in_scm_window:RJ_2020_01
RN,0.1261093339238696,0.5350628710129606,2350.4561707670646,0.07333963103304147,94.52492494996957,98.23274892156807,67.72965273706996,TRUE,FALSE,
RO,0.06688811470438934,0.5079157141368684,2655.157385229623,0.077309446535783935,142.8188350528864,159.07975010234873,122.49878139748066,TRUE,FALSE,
RR,0.08880694694185107,0.5622986854912013,3281.611489494092,0.12843400490539725,283.6437742765044,314.19147047001616,175.09956526742795,FALSE,TRUE,treated_unit
RS,0.06605509672899236,0.6691378068770254,3569.960011062572,0.03388920991141072,128.73443266124264,96.56399198475438,83.55957001319067,TRUE,FALSE,
SC,0.04803836458506548,0.7281463863043987,3541.117636166877,0.01933292992250785,108.44712183173812,117.01105325928808,82.88323592298195,FALSE,TRUE,coded_removal_in_scm_window:SC_2020_01
SE,0.12082088373961956,0.4807809011347236,2469.313042876174,0.09381822463101325,121.22549121763443,109.42915632185617,98.58324890761146,TRUE,FALSE,
SP,0.10109262804328831,0.7093218722597225,4319.142955592201,0.02152665929829229,131.740323747318,188.72376258952272,67.66264287449246,TRUE,FALSE,
TO,0.09372237499466061,0.5618900147221989,2644.819328732345,0.10113594554785489,243.40747714594676,186.7884319696704,134.40695408857763,FALSE,TRUE,coded_removal_in_scm_window:TO_2018_01
