state_abbrev,period_date,icms_siconfi,tax_siconfi,investment_siconfi,totalexp_siconfi,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason
AC,2015-02-01,336.9652887909886,435.7514319647289,125.3767288777218,1782.062779407347,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2015-04-01,321.5809507247311,428.6475582051938,105.51736477347373,1757.4636339031422,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2015-06-01,270.523534902485,371.1454980904659,94.06478357422598,1652.5831455665111,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2015-08-01,284.1368905723072,390.0162015203439,161.7632526255648,1551.8604818524836,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2015-10-01,266.18549194308923,375.3175732654401,160.4264727954129,1909.4713256463015,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2015-12-01,307.375594224866,396.8737325282448,136.15570484181097,1801.9996311471405,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-02-01,279.6037462988386,375.8338530415589,90.44406148434922,1689.1269982070005,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-04-01,302.4721234427078,406.7956503467178,97.37733308312285,1735.3034173453434,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-06-01,273.2333220080751,375.0040984360061,83.98096135524666,1638.040955665861,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-08-01,262.50560821267055,373.2773932088445,91.02702767989308,1339.6759566204887,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-10-01,255.28222324661328,363.029429986636,69.3392329815341,1609.2300985469146,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2016-12-01,298.48364180175327,379.6492221688601,97.71269576700875,1693.901076831295,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-02-01,297.6576016378179,388.34176523302756,98.66503529034306,1702.8681862278881,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-04-01,279.5210055741918,385.2287632476355,112.595357331587,1669.9196793878746,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-06-01,296.3859382439438,429.12140343288445,81.21803424774099,1911.8682545359025,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-08-01,301.6452631007541,417.5280523372811,72.9535134976244,1567.3724569368649,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-10-01,303.5356380669156,425.787784571279,80.42776888877208,1672.928190646406,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2017-12-01,291.785931918866,377.97007251744606,79.69335016704248,1559.8664159459609,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-02-01,313.7736518420554,492.15772817951733,103.43691574155162,1767.882929652139,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-04-01,317.9405507091256,439.94042437201193,107.09590789378683,1733.043741431396,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-06-01,300.7719721284065,415.2143172351048,83.15605831022776,1541.6530822710165,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-08-01,332.9728895967443,456.224992020365,104.04002205435755,1678.8833984147338,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-10-01,317.2929443401754,450.0740527644857,147.12263444244388,1790.4496147301288,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,
AC,2018-12-01,498.2031796044354,597.3603132244128,145.76032077443233,1583.3099837544019,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,
AC,2019-02-01,395.40939970015495,432.71225443313074,70.08601938529016,1688.3694426627724,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,
AC,2019-04-01,259.79348706619913,436.5162374329744,48.18381234402853,1515.7276176086098,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,
AC,2019-06-01,298.42188291726353,433.46752688858385,43.059429712693714,1749.9376500550507,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,
AC,2019-08-01,402.2313243812653,534.1287823146645,15.033038058004792,1804.783217713115,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,
