Covariate,Treated,Retail volume,ICMS,Tax revenue
ICMS secondary VA pc, 1.366, 1.814, 1.623, 1.563
ICMS tertiary VA pc, 7.982, 7.512, 7.995, 8.017
ICMS energy VA pc, 1.164, 1.182, 1.110, 1.081
ICMS fuels VA pc, 2.172, 2.189, 2.149, 2.158
FPE transfer pc,16.533,17.371,16.420,16.221
IOF-state pc, 0.000, 0.000, 0.000, 0.000
