Channel,Outcome,Mean gap post,RMSPE pre,RMSPE post,Donors,Freq
Household consumption,Retail volume index (PMC),16.02,0.85,17.45,26,monthly
State public finances,"ICMS value added, real per capita (CONFAZ)",-1.17,0.49, 1.64,26,monthly
State public finances,"Tax revenue value added, real per capita (CONFAZ)",-1.26,0.24, 1.87,26,monthly
