donor_state,scm_weight,outcome
MA,0.5074470239767139,Retail volume
SE,0.30729332949217547,Retail volume
PE,0.115543870765002,Retail volume
RN,0.04601408798963723,Retail volume
PA,0.00867455261150148,Retail volume
MA,0.7083943248032122,ICMS
PR,0.09506726000361744,ICMS
AL,0.09125924888030287,ICMS
TO,0.08444436527085812,ICMS
AC,0.02083480103891946,ICMS
MA,0.7459282581078703,Tax revenue
PR,0.09542416436328918,Tax revenue
TO,0.07697851108714333,Tax revenue
AL,0.05955520902529084,Tax revenue
AC,0.022113857415287472,Tax revenue
