Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.04,0.03,0.04,0.06
Emprego formal 6m (per 1k),0.48,-0.01,-0.24,-0.33
ICMS CONFAZ 6m pc (log),0.01,0.00,0.01,0.02
