Covariate,Treated,Varejo MA6 (log),Emprego formal 6m (per 1k),ICMS CONFAZ 6m pc (log)
ICMS secondary VA pc, 14.199,18.858,16.556,12.025
ICMS tertiary VA pc, 37.046,53.695,46.744,52.528
ICMS energy VA pc,  9.989, 8.590, 8.146, 8.408
ICMS fuels VA pc, 29.923,16.700,24.244,31.584
FPE transfer pc,149.357,72.885,94.047,51.190
IOF-state pc,  0.000, 0.002, 0.006, 0.002
