Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.59,4.59,0.01,31
Emprego formal 6m (per 1k),-0.89,-0.83,0.66,31
ICMS CONFAZ 6m pc (log),6.64,6.64,0.02,31
