Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.062,1 / 25,0.04
Emprego formal 6m (per 1k),-0.332,5 / 25,0.2
ICMS CONFAZ 6m pc (log),0.017,22 / 25,0.16
