pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,services,consumption,2019-07-01,post,-1.4756375549365828
AC,services,consumption,2019-08-01,post,-0.8763049256714339
AC,services,consumption,2019-09-01,post,-0.49012112282639464
AC,services,consumption,2019-10-01,post,-2.5486290846234
AC,services,consumption,2019-11-01,post,-3.719521401920204
AC,services,consumption,2019-12-01,post,-4.311236489474595
AC,services,consumption,2020-01-01,post,-7.309875309749117
AC,services,consumption,2020-02-01,post,2.127499828575509
AC,formal_hiring,labor_market,2015-03-01,pre,-37.84287209405782
AC,formal_hiring,labor_market,2015-04-01,pre,-21.933588713340388
AC,formal_hiring,labor_market,2015-05-01,pre,-6.500380869429225
AC,formal_hiring,labor_market,2015-06-01,pre,-25.461643936746537
AC,formal_hiring,labor_market,2015-07-01,pre,5.925422594410307
AC,formal_hiring,labor_market,2015-08-01,pre,96.70014946186694
AC,formal_hiring,labor_market,2015-09-01,pre,-6.104095707416441
AC,formal_hiring,labor_market,2015-10-01,pre,-7.014441257101389
AC,formal_hiring,labor_market,2015-11-01,pre,-18.654309830422015
AC,formal_hiring,labor_market,2015-12-01,pre,-24.70559649856299
AC,formal_hiring,labor_market,2016-01-01,pre,-48.867850553193264
AC,formal_hiring,labor_market,2016-02-01,pre,6.487045377044701
AC,formal_hiring,labor_market,2016-03-01,pre,51.76411273548962
AC,formal_hiring,labor_market,2016-04-01,pre,-27.792639594603486
AC,formal_hiring,labor_market,2016-05-01,pre,0.8914403194869358
AC,formal_hiring,labor_market,2016-06-01,pre,13.912617629097639
AC,formal_hiring,labor_market,2016-07-01,pre,37.071837727210635
AC,formal_hiring,labor_market,2016-08-01,pre,33.624107746461945
AC,formal_hiring,labor_market,2016-09-01,pre,29.692411868470195
AC,formal_hiring,labor_market,2016-10-01,pre,16.07581505187548
AC,formal_hiring,labor_market,2016-11-01,pre,-31.041227886834164
AC,formal_hiring,labor_market,2016-12-01,pre,1.6493404419930346
AC,formal_hiring,labor_market,2017-01-01,pre,18.924976131427037
AC,formal_hiring,labor_market,2017-02-01,pre,-35.51784764590651
AC,formal_hiring,labor_market,2017-03-01,pre,16.777171798029226
AC,formal_hiring,labor_market,2017-04-01,pre,-26.705823005562664
AC,formal_hiring,labor_market,2017-05-01,pre,4.920149124511234
AC,formal_hiring,labor_market,2017-06-01,pre,-7.125330695601262
AC,formal_hiring,labor_market,2017-07-01,pre,-20.91126255412063
AC,formal_hiring,labor_market,2017-08-01,pre,19.345243013520836
AC,formal_hiring,labor_market,2017-09-01,pre,28.94935379765652
AC,formal_hiring,labor_market,2017-10-01,pre,17.043378331425835
AC,formal_hiring,labor_market,2017-11-01,pre,30.194099006642368
AC,formal_hiring,labor_market,2017-12-01,pre,-8.7805328067915
AC,formal_hiring,labor_market,2018-01-01,pre,-5.0889291006831066
AC,formal_hiring,labor_market,2018-02-01,pre,-27.032082120949674
AC,formal_hiring,labor_market,2018-03-01,post,-6.116112208292127
AC,formal_hiring,labor_market,2018-04-01,post,-33.736117145868306
AC,formal_hiring,labor_market,2018-05-01,post,-57.58204754503846
AC,formal_hiring,labor_market,2018-06-01,post,-12.155667354462446
