Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.05,0.04,0.03,0.04
Emprego formal 6m (per 1k),-0.17,-0.20,-0.22,0.02
ICMS CONFAZ 6m pc (log),-0.10,-0.14,-0.15,-0.14
