outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,19.037805535270916,26,5,27,0.18518518518518517
formal_hiring_6m_per1k,1.1292718050208383,26,24,27,0.8888888888888888
icms_conf6m_pc_log,11.654398955672391,26,2,27,0.07407407407407407
