Outcome,Rank,p (classico)
Varejo MA6 (log),5 / 27,0.185185185185185
Emprego formal 6m (per 1k),24 / 27,0.888888888888889
ICMS CONFAZ 6m pc (log),2 / 27,0.0740740740740741
