Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.038,1 / 27,0.037
Emprego formal 6m (per 1k),0.02,26 / 27,0.074
ICMS CONFAZ 6m pc (log),-0.137,1 / 27,0.037
