Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.69,4.69,0.00,31
Emprego formal 6m (per 1k),3.11,3.19,0.85,31
ICMS CONFAZ 6m pc (log),6.79,6.78,0.01,31
