donor_state,scm_weight
AC,0.8659819443333946
DF,0.10993201507628154
RO,0.0240860405902884
PE,2.9354368540740584e-14
MS,2.959876274112902e-15
PB,2.5042495925124613e-15
BA,4.3810785022287394e-16
MG,1.0740681134795744e-16
PR,7.559632354066194e-17
MT,1.773413527603375e-17
AL,0
AP,0
CE,0
ES,0
GO,0
MA,0
PA,0
PI,0
RJ,0
RN,0
RS,0
SC,0
SE,0
SP,0
