state_abbrev,period_date,icms_siconfi,tax_siconfi,investment_siconfi,totalexp_siconfi,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,year,month,bimester,bim_event_time,icms_level,icms_2bim,icms_2bim_log
AC,2016-10-01,5.554492075803182,5.87961137723513,4.076553374793827,7.34930629291747,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,10,5,-13,258.3956857624152,520.935246879782,6.255625747809966
AC,2016-12-01,5.7055210754878996,5.965408814151505,4.188454274411242,7.462371843347165,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,12,6,-12,300.5220339223179,558.9177196847331,6.326002270344075
AC,2017-02-01,5.690489860317627,5.985128060455028,4.66333517870742,7.389652930847173,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,2,1,-11,296.03860269105223,596.5606366133702,6.3911808903755265
AC,2017-04-01,5.6126259188027845,5.933008973650705,4.718349098798965,7.364472473547432,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,4,2,-10,273.86243514620367,569.9010378372559,6.3454627279259
AC,2017-06-01,5.68667481964489,6.046994874856315,4.247749252555705,7.527103817614481,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,6,3,-9,294.91135499620106,568.7737901424048,6.34348279821217
AC,2017-08-01,5.710148250468009,6.024016469975649,4.180293961248509,7.327466290428078,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,8,4,-8,301.9158241273971,596.8271791235982,6.391627589279512
AC,2017-10-01,5.720889498604005,6.041784367850786,4.205786629329852,7.389590458615695,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,10,5,-7,305.1762561175767,607.0920802449739,6.408680476828064
AC,2017-12-01,5.68527696651622,5.961690121760717,4.085530130620693,7.408686843570507,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,12,6,-6,294.4994002291491,599.6756563467259,6.396388936298561
AC,2018-02-01,5.744530908289927,6.2287857703505445,4.816537540564629,7.443753534383502,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,2,1,-5,312.47701306843953,606.9764132975886,6.40848993247517
AC,2018-04-01,5.750559077441185,6.07433239250713,4.6422998442972485,7.408246414758948,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,4,2,-4,314.366366308151,626.8433793765905,6.440696715771538
AC,2018-06-01,5.70232132058101,6.01215509950707,4.27499683059597,7.301189373443601,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,6,3,-3,299.56197386720834,613.9283401753594,6.419878211523904
AC,2018-08-01,5.8094414455389165,6.113955455439064,4.466575014358791,7.393630682570035,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,8,4,-2,333.43283325569365,632.994807122902,6.450462218513215
AC,2018-10-01,5.763665320460977,6.098101641966912,4.753431276215929,7.459905554095393,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,10,5,-1,318.5136465677744,651.946479823468,6.479962472397075
AC,2018-12-01,6.174018205560126,6.358297690835763,4.4201933649720555,7.418287101604945,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2018,12,6,0,480.1114217260142,798.6250682937887,6.682891584436717
AC,2019-02-01,5.980771768301752,6.096599371367036,-0.11043348578097056,7.377178308734354,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,2,1,1,395.74567429434546,875.8570960203597,6.775202945232005
AC,2019-04-01,5.533644927299667,6.066049875323326,2.768603230080832,7.248724121867618,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,4,2,2,253.0646342134373,648.8103085077828,6.475140391250479
AC,2019-06-01,5.6939681946698615,6.05763837827914,3.4627820113665644,7.4344978129731265,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,6,3,3,297.0701168679705,550.1347510814078,6.310163250184632
AC,2019-08-01,5.999209356103809,6.273655989309405,3.219033095275708,7.463421879739317,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,8,4,4,403.10995104164084,700.1800679096114,6.551337541833775
AC,2019-10-01,5.781658985613112,6.142383702331976,3.1235882508394925,7.368280344702377,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,10,5,5,324.296748033143,727.4066990747838,6.589485742126625
AC,2019-12-01,5.7146132824648035,6.0706145752420975,3.691249325222529,7.30064456140205,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,12,6,6,303.2669020007844,627.5636500339274,6.441845100178842
AC,2020-02-01,5.731409598729758,6.06821884399465,4.888193760926554,7.4408661846735455,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,2,1,7,308.4036875733623,611.6705895741467,6.4161938852727145
AC,2020-04-01,5.68566354008004,6.064785398712401,3.670503020018504,7.338093315048199,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,4,2,8,294.61326791954,603.0169554929023,6.401945314893893
AC,2020-06-01,5.48224562989598,5.8383865463912175,3.3639817016537283,7.31490511819935,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,6,3,9,240.38591951964685,534.9991874391869,6.282265228089595
AC,2020-08-01,5.711373244930134,6.070406245043223,3.8824034340990217,7.424553488756621,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,8,4,10,302.28589596167694,542.6718154813238,6.296504745837063
AC,2020-10-01,5.845818851501141,6.196705703792469,3.3601544398166157,7.30556276468853,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,10,5,11,345.7855729204882,648.0714688821652,6.474000981755439
AL,2015-02-01,5.522961638617729,5.664600217382926,-3.5956724734469336,6.338668896386705,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,2,1,-23,250.37546185009953,,
AL,2015-04-01,5.449101192579659,5.682333558492126,3.0411720904831183,6.5657027392650615,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,4,2,-22,232.549055130236,482.9245169803355,6.179860361895834
AL,2015-06-01,5.519978317618327,5.732222794606136,3.3312344100730797,6.54503733824556,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,6,3,-21,249.62962456621807,482.1786796964541,6.178314750120993
AL,2015-08-01,5.411025693994863,5.6190655914096075,3.3409007952284604,6.42679195265913,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,8,4,-20,223.8610829329227,473.49070749914074,6.160132287299747
AL,2015-10-01,5.435985053865405,5.603796286225234,3.5354833131877155,6.4806540476545305,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,10,5,-19,229.5188253637815,453.37990829670423,6.116730423674499
AL,2015-12-01,5.378505637873322,5.611845537400401,3.3915606641033915,6.480299121165508,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,12,6,-18,216.69820775344107,446.21703311722257,6.100805454997361
AL,2016-02-01,5.531322390920737,5.7197416915379495,4.6517629177931745,6.235062381952565,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,2,1,-17,252.47756440364748,469.17577215708855,6.150977478952267
AL,2016-04-01,5.525695278110492,5.719322858920327,3.1152839057862907,6.560723365723858,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,4,2,-16,251.06083445463776,503.53839885828523,6.22165997312016
AL,2016-06-01,5.487830599257756,5.7041167338279255,3.5161206391177635,6.423345460116578,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,6,3,-15,241.73222354906653,492.7930580037043,6.200089325276957
AL,2016-08-01,5.604959889933677,5.808187121147018,3.641956394369181,6.375048333311596,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,8,4,-14,271.77102446187536,513.5032480109419,6.241256354589002
AL,2016-10-01,5.526742774047162,5.720769101670235,3.1319389926869303,6.292729325484314,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,10,5,-13,251.32395744465822,523.0949819065336,6.259763057339793
AL,2016-12-01,5.529422762348665,5.725047667616569,3.362381916070181,6.7176248678593184,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,12,6,-12,251.99840606402594,503.32236350868413,6.221230846549752
AL,2017-02-01,5.531080965955731,5.744252083230556,3.1496754821848985,6.514243029302507,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,2,1,-11,252.41661737385976,504.4150234378857,6.223399388417004
AL,2017-04-01,5.574452093022172,5.73278670746077,3.746711663527473,6.4102836339103915,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,4,2,-10,263.6050849968566,516.0217023707164,6.2461488234550915
AL,2017-06-01,5.551182515387962,5.7521396017791,3.5874594887517905,6.509397475470479,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,6,3,-9,257.54192319803104,521.1470081948876,6.256032167393428
AL,2017-08-01,5.528728643435772,5.719888401746463,3.474124306385956,6.465286868686778,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,8,4,-8,251.82354989686482,509.36547309489583,6.2331657806936365
AL,2017-10-01,5.530202723816939,5.75059812512343,3.5056959552830764,6.507950032633185,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,10,5,-7,252.1950317810958,504.0185816779606,6.2226131358003975
AL,2017-12-01,5.523448437365817,5.755042561228528,3.6563918967216886,6.557070508821419,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2017,12,6,-6,250.49737398240921,502.692405763505,6.219978463688666
AL,2018-02-01,5.318347979851219,5.468205694450018,3.7220321814295896,6.372702510643251,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,2,1,-5,204.04651444754865,454.54388842995786,6.119294473157838
AL,2018-04-01,5.273192508240949,5.431320621411658,4.37862388835832,6.462492867342956,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,4,2,-4,195.0376288171717,399.08414326472035,5.989172280031908
AL,2018-06-01,5.266919141780091,5.5417805106293425,3.934541675525258,6.382363800585297,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,6,3,-3,193.81791615037238,388.8555449675441,5.963207924953243
AL,2018-08-01,5.328797784501734,5.604298184594403,3.84912640567961,6.427106939862578,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,8,4,-2,206.1899403492643,400.00785649963666,5.991484188164187
AL,2018-10-01,5.347736901297304,5.53224450420214,3.848188994742944,6.635279549008592,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2018,10,5,-1,210.13220942176147,416.3221497710258,6.031459359057507
AL,2018-12-01,5.29204247855244,5.585565385606524,3.895786047237182,6.350963466787363,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2018,12,6,0,198.74895160009237,408.8811610218538,6.013424553973342
AL,2019-02-01,5.305040331400621,5.518253343755586,4.858165718684867,6.51260816467641,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,2,1,1,201.34912294208095,400.0980745421733,5.991709703410153
AL,2019-04-01,5.303497346248023,5.548902089699524,3.787015075904396,6.424490447388126,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,4,2,2,201.03868379797908,402.38780674006,5.997416316984635
AL,2019-06-01,5.296131794768841,5.539635037046626,3.4367199141449327,6.4399798370421,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,6,3,3,199.56336296875534,400.6020467667344,5.992968532471623
AL,2019-08-01,5.282519703185574,5.554846008247358,2.993695770173216,6.413526079445363,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,8,4,4,196.86529304292714,396.4286560116825,5.982496090488001
AL,2019-10-01,5.3367284560098005,5.593276075660459,3.6077395869705744,6.4800112856111856,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,10,5,5,207.83166642478474,404.69695946771185,6.003138538801242
AL,2019-12-01,5.409390555972753,5.579170109556279,3.765855416198407,6.238721797949411,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2019,12,6,6,223.49533826754308,431.3270046923278,6.066866514010742
AL,2020-02-01,5.327909482053383,5.5630191995419125,3.2145180112796017,6.787680913680164,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,2,1,7,206.00686264665114,429.5022009141942,6.062626865774845
AL,2020-04-01,5.220042393966117,5.445709314331367,3.3745215956712267,6.367508663110167,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,4,2,8,184.94202433040547,390.94888697705665,5.968576827596414
AL,2020-06-01,5.116462256114029,5.502009195390605,3.5759025652569236,6.336068780951058,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,6,3,9,166.74442586049443,351.6864501908999,5.862740012126736
AL,2020-08-01,5.342334261426985,5.597799545811804,3.494347903719486,6.448324919069354,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,8,4,10,209.0000019775944,375.7444278380888,5.928909199083576
AL,2020-10-01,5.38667103996951,5.645202738325917,3.763310652367085,6.47098812001814,FALSE,TRUE,FALSE,post,FALSE,2018-11-07,2018-12-10,,2020,10,5,11,218.47487950143645,427.47488147903084,6.0578955298763715
AM,2015-02-01,6.2174729100212,6.347428780695541,4.099441616820474,7.021706111054299,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,2,1,-23,501.4344595466096,,
AM,2015-04-01,6.192403829302296,6.3100814705833095,4.229221779145547,7.000259859956242,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,4,2,-22,489.02021559346196,990.4546751400716,6.898164105515705
AM,2015-06-01,6.191494191374935,6.306581017131798,4.014218414666988,6.941005411141843,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,6,3,-21,488.5755865145076,977.5958021079696,6.885096294328702
AM,2015-08-01,6.133677724132274,6.245491143922629,3.7265559478138734,6.946663748982186,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,8,4,-20,461.12895103526864,949.7045375497762,6.856150923114481
AM,2015-10-01,6.106365266130788,6.221652895142032,3.507166625201519,6.843710318973103,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,10,5,-19,448.70482496383084,909.8337759990995,6.81326191908859
AM,2015-12-01,6.018371200370553,6.1418826297486,3.8200935462635512,6.794977174971551,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2015,12,6,-18,410.90876232274627,859.6135872865771,6.756482971165743
AM,2016-02-01,6.0184686932962315,6.162412210913235,4.1164641883693465,6.898452450195748,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,2,1,-17,410.9488249730527,821.857587295799,6.711567128581446
AM,2016-04-01,6.062309863749242,6.19697104530748,4.32252270998773,6.854580542882651,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,4,2,-16,429.366069424622,840.3148943976747,6.733776695872497
AM,2016-06-01,5.9635870069348575,6.106214825182988,3.877079115160575,6.831352311239829,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,6,3,-15,389.0029810415063,818.3690504661283,6.707313396798832
AM,2016-08-01,5.956902081903104,6.100281969588302,3.4200752302155832,6.7677934322578635,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,8,4,-14,386.41119786606987,775.4141789075761,6.65339731099636
AM,2016-10-01,6.017347869993791,6.153281931195314,3.243171569179097,6.692256467312688,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,10,5,-13,410.48848198367904,796.899679849749,6.680728798659048
AM,2016-12-01,5.97990050569966,6.1045021550871015,3.5654938895150896,6.943997330811484,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2016,12,6,-12,395.40102604975806,805.8895080334371,6.691946646302223
AM,2017-02-01,6.00549018107321,6.155902978123225,3.762339044142994,6.751109849394629,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,2,1,-11,405.6497818545245,801.0508079042826,6.685924375648837
AM,2017-04-01,6.033733427108238,6.169752562643666,3.404927744058908,6.777352677558961,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,4,2,-10,417.2699719682571,822.9197538227816,6.712858691455134
AM,2017-06-01,6.105834363559334,6.230121518374494,3.5480771053758304,6.819955974188794,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,6,3,-9,448.466669642664,865.7366416109211,6.7635807533176004
AM,2017-08-01,6.132175942056,6.245966751096613,3.6642005883202047,6.8192717515546235,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,8,4,-8,460.43695558499246,908.9036252276564,6.812239065704796
AM,2017-10-01,6.113433845378988,6.238841873678634,3.2661564327583608,6.842468499167384,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,10,5,-7,451.8877667634005,912.3247223483929,6.81599598190829
AM,2017-12-01,6.12361687697303,6.2373148112672,3.3583663857798327,6.767214283845613,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2017,12,6,-6,456.51286295341873,908.4006297168193,6.811685503446508
AM,2018-02-01,6.2094651470503255,6.34985078334924,3.389336916250862,6.875076200528943,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,2,1,-5,497.4351254799302,953.9479884333489,6.8606091505001485
AM,2018-04-01,6.247790864008331,6.364945661233037,2.863143206826021,6.815488318203296,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,4,2,-4,516.8697269872222,1014.3048524671524,6.92195878242567
AM,2018-06-01,6.145362637852403,6.264334411185104,3.649928442603673,6.787440286075542,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,6,3,-3,466.5488066470465,983.4185336342687,6.891034801286182
AM,2018-08-01,6.1605603600506775,6.289130182096337,4.190926141381217,6.970427360059713,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,8,4,-2,473.69343935773634,940.2422460047828,6.84613755057864
AM,2018-10-01,6.129319248923936,6.2624786984181675,4.371153383206293,6.920667928361102,FALSE,FALSE,TRUE,pre,TRUE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,10,5,-1,459.1235054514347,932.816944809171,6.838208980964224
AM,2018-12-01,6.217624249866813,6.35580711241493,4.25631230935794,7.009831113869944,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2018,12,6,0,501.5103523029569,960.6338577543916,6.867593335074699
AM,2019-02-01,6.21557271339087,6.358412827308437,2.638412333131035,6.8918698781862044,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,2,1,1,500.4825401796629,1001.9928924826198,6.909746188288934
AM,2019-04-01,6.155554677820983,6.292527450632017,2.785878718805731,6.815682297371203,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,4,2,2,471.32820526991674,971.8107454495796,6.879161079175108
AM,2019-06-01,6.17368512643414,6.30473685162641,3.3423087251716423,6.9087365772083995,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,6,3,3,479.9515332625232,951.27973853244,6.857808171270611
AM,2019-08-01,6.194433809054501,6.338651163349018,3.415731418696434,6.880992502288504,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,8,4,4,490.01392499327494,969.9654582557981,6.877260460817807
AM,2019-10-01,6.192084331260574,6.33554962408485,3.744867547423526,6.922103671013823,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,10,5,5,488.86399954890646,978.8779245421814,6.886406940723062
AM,2019-12-01,6.3379078447964865,6.47255672332831,3.6882788489774545,7.067334323438088,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2019,12,6,6,565.61172513064,1054.4757246795466,6.960798978961148
AM,2020-02-01,6.2905153081111775,6.427143551806138,2.962230917507038,6.751236814607204,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2020,2,1,7,539.4312307646339,1105.042955895274,7.007639487309644
AM,2020-04-01,6.19077551925768,6.317702763729447,3.8867471374464073,6.950335239542585,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2020,4,2,8,488.2245870051956,1027.6558177698296,6.93503558233763
AM,2020-06-01,6.047132891824356,6.200767646954834,3.5824731387704944,6.886608438153656,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2020,6,3,9,422.8987936143074,911.123380619503,6.814678322359053
AM,2020-08-01,6.207434099627568,6.360089924118756,3.294711889398498,6.736648838880598,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2020,8,4,10,496.4258364542282,919.3246300685356,6.823639302709799
AM,2020-10-01,6.326815220418322,6.466390171351567,3.883230834221906,7.1115295114633215,FALSE,FALSE,TRUE,post,FALSE,2018-11-07,2018-12-10,coded_removal_in_scm_window:AM_2017_01,2020,10,5,11,559.3722766274643,1055.7981130816925,6.962052265194977
AP,2015-02-01,5.708423436977062,5.943646051210727,1.806747829758957,6.999204693816148,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,2,1,-23,301.3955244797278,,
AP,2015-04-01,5.581943125116197,5.798841808522506,2.8720477140121043,7.391955542543208,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,4,2,-22,265.58717382540317,566.982698305131,6.340328788809145
AP,2015-06-01,5.497304012010891,5.6514967513824415,3.38982989397651,7.288326441376042,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,6,3,-21,244.03313420865788,509.62030803406105,6.233665954394187
AP,2015-08-01,5.460682179998908,5.64787648832868,4.993986637647947,7.262363902825357,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,8,4,-20,235.25785784196796,479.29099205062585,6.172307912019909
AP,2015-10-01,5.489929593623694,5.719987681839542,4.399618420246142,7.081420261533749,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,10,5,-19,242.24015100631266,477.4980088482806,6.168559989960846
AP,2015-12-01,5.427412229626936,5.312333659735695,3.962795531113794,6.923521093944653,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,12,6,-18,227.55961081458872,469.7997618209014,6.152306565244908
AP,2016-02-01,5.322858503857398,5.6292736100156295,1.7912581678951225,6.653243544086083,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,2,1,-17,204.96894991911208,432.52856073370083,6.0696483605701275
AP,2016-04-01,5.359767550034274,5.637563164137586,3.674670162502311,7.267375372035895,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,4,2,-16,212.67550428967226,417.64445420878434,6.034630482552242
AP,2016-06-01,5.316368778372707,5.503941437216297,3.3068246053719483,6.994115619452658,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,6,3,-15,203.6430646703674,416.31856896003967,6.031450757962448
