state_abbrev,period_date,icms_siconfi,tax_siconfi,investment_siconfi,totalexp_siconfi,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,year,month,bimester,bim_event_time,icms_level,icms_2bim,icms_2bim_log
AC,2015-02-01,5.8175055438568455,6.10379849936362,5.319177404036968,7.455174025060046,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,2,1,-23,336.13253912219307,,
AC,2015-04-01,5.762693534844102,6.046752864429912,4.619358286418471,7.424679550617215,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,4,2,-22,318.20426993548915,654.3368090576822,6.4836222174501
AC,2015-06-01,5.589077759701209,5.892981753484267,4.4158887250119445,7.374391923308302,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,6,3,-21,267.48881695894136,585.6930868944305,6.3727959098750295
AC,2015-08-01,5.650035679921713,5.954766728597886,4.846559566070835,7.317905473026581,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,8,4,-20,284.3016095021268,551.7904264610681,6.313168311978942
AC,2015-10-01,5.5945855454738345,5.913503909361179,4.834195989019108,7.526410960431146,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,10,5,-19,268.96615274918105,553.2677622513079,6.3158420837051
AC,2015-12-01,5.73177937122083,6.0027768988448305,4.37796594708262,7.503662642583682,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2015,12,6,-18,308.51774786005035,577.4839006092313,6.358680564274425
AC,2016-02-01,5.626266334400506,5.951321217652253,4.327544317216854,7.377833971880683,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,2,1,-17,277.62362636651267,586.141374226563,6.373561013426554
AC,2016-04-01,5.6972905350497065,5.991124256147963,4.491900320160276,7.409778431235432,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,4,2,-16,298.0587262519732,575.6823526184859,6.355556037431287
AC,2016-06-01,5.599762062223493,5.904002659357688,4.286372990856006,7.365095301520282,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,6,3,-15,270.3620704224663,568.4207966744395,6.342861983650802
AC,2016-08-01,5.570401779694755,5.910160325861276,4.3565242964827435,7.177024544665555,FALSE,TRUE,FALSE,pre,TRUE,2018-11-07,2018-12-10,,2016,8,4,-14,262.5395611173668,532.901631539833,6.278336850922807
