Covariate,Roraima,"Formal hiring, MA6","Construction hiring, MA6"
Unemployment rate,    0.138,    0.126,    0.117
Formalization rate,    0.433,    0.589,    0.528
"Labor income (real, R$)","2,564.833","2,985.655","2,684.326"
Transfer dependency ratio,    0.000,    0.000,    0.000
"Health expenditure pc (real, R$)",  171.780,  129.726,  108.440
"Education expenditure pc (real, R$)",  147.267,  104.184,  140.494
"Public security expenditure pc (real, R$)",   94.962,   91.181,   92.601
