period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2018-10-01,pre,73.931949775970807,85.20370129075931,-8.29903640356335,76.90466488719596,-11.271751514788505,-2.972715111225156,services
2018-11-01,pre,72.6742116010809,86.19823401921641,-12.770354272270463,73.42787974694595,-13.524022418135516,-0.7536681458650492,services
2018-12-01,pre,77.8251281601838,83.11348178792802,-7.2090282144134346,75.90445357351459,-5.288353627744229,1.9206745866692074,services
2019-01-01,pre,80.1670147156842,83.3635733793758,-7.017759589286286,76.34581379008951,-3.19655866369159,3.8212009255946953,services
2019-02-01,pre,77.9123969344476,82.07780034579795,-6.447131144088987,75.63066920170897,-4.165403411350354,2.2817277327386307,services
2019-03-01,pre,78.1799870164673,82.65663183313534,-4.156302291942448,78.50032954119288,-4.476644816668042,-0.32034252472558933,services
2019-04-01,pre,76.6503788790608,85.56830990257531,-2.4308877335502697,83.13742216902504,-8.917931023514512,-6.487043289964248,services
2019-05-01,pre,79.0314749597144,83.91943229854472,-1.116507857150145,82.80292444139458,-4.887957338830319,-3.771449481680179,services
2019-06-01,pre,77.8158090362147,83.29200428072492,-4.071464119358426,79.2205401613665,-5.476195244510222,-1.4047311251517982,services
2019-07-01,pre,87.8074394761561,85.61170725680432,-2.852856500199408,82.75885075660491,2.1957322193517825,5.048588719551191,services
2019-08-01,pre,81.9408375948592,83.29500312482668,-6.006687253369402,77.28831587145727,-1.3541655299674744,4.652521723401932,services
2019-09-01,pre,79.8269309099658,83.51783845941527,-4.88707057487479,78.63076788454049,-3.690907549449477,1.1961630254253066,services
2019-10-01,pre,80.1668190026316,89.0538274318769,-7.147684962894237,81.90614246898267,-8.887008429245299,-1.7393234663510668,services
2019-11-01,pre,80.0413902139571,84.50411728926932,-6.1412315605837895,78.36288572868553,-4.462727075312216,1.6785044852715743,services
2019-12-01,pre,78.5947654089209,80.80363917692732,-4.238429179642594,76.56520999728473,-2.2088737680064128,2.0295554116361814,services
2020-01-01,pre,89.1481849190251,82.90124406275395,-5.816087695718053,77.08515636703589,6.246940856271152,12.063028551989206,services
2020-02-01,pre,76.9126870080512,81.92194217122615,-5.552623634104992,76.36931853712116,-5.009255163174956,0.5433684709300337,services
2020-03-01,pre,72.9435291938137,78.56971909068551,-2.744948205283624,75.82477088540189,-5.626189896871807,-2.881241691588187,services
2020-04-01,pre,69.7420352869616,72.8949981409434,-8.26497699254614,64.63002114839726,-3.152962853981805,5.112014138564334,services
2020-05-01,pre,70.0374765941074,71.0885620493864,-5.234729897257983,65.85383215212842,-1.0510854552789937,4.183644441978984,services
2020-06-01,pre,71.1821275556635,74.21174614065725,-5.00926838314421,69.20247775751304,-3.029618584993756,1.9796497981504615,services
2020-07-01,pre,71.6263811246477,75.8521262577946,-7.7312866418205966,68.12083961597399,-4.225745133146901,3.5055415086737014,services
2020-08-01,pre,69.688776549556,78.55852593019078,-2.8824056966905003,75.67612023350028,-8.869749380634786,-5.987343683944289,services
2020-09-01,pre,72.4848465370511,80.8971445926145,-1.8654888765512407,79.03165571606326,-8.412298055563397,-6.546809179012158,services
2020-10-01,pre,76.2968594659591,80.63862583545027,-2.9920560482929264,77.64656978715735,-4.341766369491168,-1.3497103211982449,services
2020-11-01,pre,79.4373528152479,81.84106656385026,1.9420775615292074,83.78314412537947,-2.4037137486023568,-4.34579131013156,services
