base_outcome,outcome,moving_average_window,moving_average_variant,rmspe_pre,rmspe_post,mean_gap_pre,mean_gap_post,post_pre_rmspe_ratio
formal_hiring_balance,formal_hiring_balance,1,level,1685.1407805859913,3103.560836294783,,,1.8417219926370485
formal_hiring_balance,formal_hiring_balance_ma3,3,post_clean_trailing,979.3700301954907,2632.409751962974,160.75403732579207,-970.4297807020971,2.6878602272907233
formal_hiring_balance,formal_hiring_balance_ma6,6,post_clean_trailing,573.4270060032215,2451.2522785482342,75.7319848945673,-1137.9520012513294,4.274741602481246
retail_volume_index,retail_volume_index,1,level,5.09572828323612,4.434284960791602,,,0.8701965085892572
retail_volume_index,retail_volume_index_ma3,3,post_clean_trailing,4.321751809858891,3.834005624913783,-0.6078325602299189,-2.709375454101259,0.8871415559235842
retail_volume_index,retail_volume_index_ma6,6,post_clean_trailing,3.3879193244453196,3.508244599016886,-0.578657781113794,-2.7158533288916757,1.0355159798828049
services_volume_index,services_volume_index,1,level,6.19669472701684,7.619967745479259,,,1.229682610030331
services_volume_index,services_volume_index_ma3,3,post_clean_trailing,4.5090836194742066,6.569727254609473,-2.242912100718204,-6.199109535037575,1.456998319178555
services_volume_index,services_volume_index_ma6,6,post_clean_trailing,3.738239412781445,6.626587568778423,-1.9407014972607848,-6.371308083029477,1.7726493242036354
