omitted_donor,rmspe_post,rmspe_pre,mean_gap_post,mean_gap_pre,outcome,post_pre_rmspe_ratio
MS,5.118609171948396,5.3801949201979635,-3.948510680105972,-0.32827912274840115,retail_volume_index,0.9513798752406646
ES,4.738602232884575,5.120719750422658,-2.7610977192999457,-0.8609306346375251,retail_volume_index,0.9253781624142694
PA,4.410755430560759,5.0771945389360615,-2.983924388517582,-1.150466245570984,retail_volume_index,0.8687387092882684
AP,4.488655380479561,5.233519724801901,-2.728737686600231,-0.8038146100162388,retail_volume_index,0.8576743026700765
