placebo_state,post,pre,post_pre_rmspe_ratio
PA,5.052146676276735,2.4128665482961233,2.093835931309327
AL,8.260982825667124,4.462556063873853,1.8511773762447559
MA,4.676953585063711,2.6104129461845065,1.7916527696890834
MG,3.4447463132730185,2.093209474185381,1.6456768210518529
AP,6.21650619439762,4.255251582942922,1.4609021519000995
SC,3.9182542087710672,2.734102560391736,1.4331043266385985
MS,4.341773293142426,3.079304615621939,1.4099849917788991
ES,3.8904012377880925,2.810752889344907,1.3841135777307039
SP,4.236551739438601,3.0764047744324854,1.3771112873858193
AC,5.296841508014425,4.105655914531096,1.2901328358441781
RS,2.1090284189852446,1.8349334329300249,1.1493759834205781
PR,3.953422025950804,3.461369118210949,1.1421555722419394
RN,5.019284450452495,4.537616482815698,1.1061499951485345
GO,1.6590400584322547,1.6242647745120342,1.0214098615360712
PE,1.7979402750862923,1.8532213512406441,0.9701702788404937
SE,3.244049344197351,3.4372374585620933,0.9437955286203709
MT,10.120787080142323,10.897376051596513,0.9287361500807879
DF,4.866027356793664,5.296359283499543,0.9187494836223536
PB,1.6612565341267749,1.8225470954066907,0.911502664767121
RJ,2.5094610334725673,2.765417163066288,0.9074439353989121
BA,2.09033280030732,3.07068193445478,0.6807389514532942
CE,2.860691593594699,4.563231043887864,0.6269004497211246
RO,5.558051988691537,9.866986891214534,0.5632977979975194
PI,3.539776136561867,7.475693551263661,0.47350471394905125
