placebo_state,post,pre,post_pre_rmspe_ratio
RS,6.659398874563563,1.9669145910083934,3.385708207670287
AL,6.412900614838567,1.9133605961321372,3.3516424597654306
PI,9.457046362334177,2.9459065364966652,3.210232994554097
MA,6.277754099608898,2.359842053219866,2.660243337490859
PE,4.230944439980962,1.6881335203933632,2.506285426401036
MS,5.304101087480987,2.377131153814347,2.231303510102933
RO,6.802630393651004,3.0920566682321016,2.200034191980201
BA,5.070546744768321,2.4197475038172396,2.095485887171843
AC,4.3381998274929865,2.2253087995317005,1.9494821700277858
ES,5.150892982806663,2.687856324454902,1.9163572605954917
CE,4.7287925141726745,2.480535209806716,1.906359762795362
MG,3.6711164977014104,1.9689302537918996,1.8645233830052257
PR,3.759091345416512,2.2896409328315763,1.641782032944214
RJ,3.971541496105157,2.4696684448691344,1.6081274004031767
AP,8.674880895530183,5.618462644824507,1.5439954741927708
RN,4.403549203029846,2.9021790535268077,1.5173251277099986
PB,5.572087718546667,3.7341333083432793,1.4922037480817287
PA,4.9623310638861415,3.825695429671932,1.2971056256591968
SC,7.033225184371226,6.01919214540342,1.1684666338060292
SP,2.1018918088702936,1.8003329394283643,1.1675017230633349
DF,4.0320752575081045,4.222682890700826,0.9548610117959658
SE,3.4691302326932996,3.6939961323901453,0.939126655351599
MT,2.989186293398645,3.2037235967586275,0.933035014763121
GO,2.989087142380304,3.6148318838987383,0.8268952024281848
