predictor,treated_value,synthetic_value,difference,used_in_scaled_fit
lag_2016_01,75.68497,80.0913691760424,-4.406399176042399,TRUE
lag_2016_02,70.67716,74.25520572856121,-3.5780457285612073,TRUE
lag_2016_03,76.56263,78.27310487080837,-1.710474870808369,TRUE
lag_2016_04,74.80731,75.52795338395555,-0.7206433839555473,TRUE
lag_2016_05,73.98128,76.2427859879106,-2.2615059879105956,TRUE
lag_2016_06,74.70406,73.36902202563562,1.3350379743643828,TRUE
lag_2016_07,80.89928,75.48402404114718,5.415255958852825,TRUE
lag_2016_08,84.30665,73.76608507971639,10.540564920283614,TRUE
lag_2016_09,83.06761,70.43425176460171,12.63335823539829,TRUE
lag_2016_10,84.61642,74.79097803772375,9.825441962276258,TRUE
lag_2016_11,83.53225,77.78681581131623,5.745434188683774,TRUE
lag_2016_12,99.3817,99.97688770419855,-0.5951877041985512,TRUE
lag_2017_01,64.46627,75.5852775785667,-11.119007578566709,TRUE
lag_2017_02,64.2192,66.91069996705711,-2.691499967057112,TRUE
lag_2017_03,69.30178,75.13099960283819,-5.829219602838194,TRUE
lag_2017_04,67.69639,73.23531884520095,-5.538928845200957,TRUE
lag_2017_05,72.25021,76.47260227296084,-4.222392272960846,TRUE
lag_2017_06,72.13115,74.18008545809927,-2.0489354580992654,TRUE
lag_2017_07,77.48901,77.5279821091639,-0.038972109163907476,TRUE
lag_2017_08,80.67494,78.13092849052995,2.544011509470053,TRUE
lag_2017_09,79.3483,77.15533292884841,2.1929670711515854,TRUE
lag_2017_10,77.05308,77.7232418214463,-0.6701618214462997,TRUE
lag_2017_11,78.80251,80.86350593418251,-2.0609959341825146,TRUE
lag_2017_12,88.7178,99.21442833358847,-10.496628333588475,TRUE
lag_2018_01,73.76368,76.02036882809539,-2.256688828095392,TRUE
lag_2018_02,71.92652,69.87304728663601,2.0534727133639876,TRUE
lag_2018_03,78.23377,80.988533755618107,-2.7547637556181,TRUE
lag_2018_04,72.31523,73.90167596486049,-1.5864459648604878,TRUE
lag_2018_05,80.35801,78.82855429924574,1.529455700754255,TRUE
lag_2018_06,74.04165,76.92229686663677,-2.8806468666367664,TRUE
lag_2018_07,75.31947,77.78229221003753,-2.4628222100375297,TRUE
lag_2018_08,79.06464,81.34807999526308,-2.2834399952630804,TRUE
lag_2018_09,76.36231,78.73844843388362,-2.376138433883625,TRUE
lag_2018_10,81.37346,82.58237391138242,-1.2089139113824245,TRUE
lag_2018_11,81.88238,88.52846632760883,-6.646086327608828,TRUE
mean_formal_hiring_balance,47,-509.3648222506215,556.3648222506215,TRUE
mean_services_volume_index,82.88908942857142,90.26869685624429,-7.379607427672866,TRUE
mean_formalization_rate_pnadc,0.5626363636363636,0.5421835377063006,0.020452825930063034,TRUE
mean_unemployment_rate_pnadc,0.10127272727272728,0.11171317776397151,-0.01044045049124423,TRUE
