period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,omitted_donor
2016-01-01,pre,-84,330.7486360385692,-414.7486360385692,formal_hiring_balance,RR,MS
2016-02-01,pre,-83,-1937.950848031837,1854.950848031837,formal_hiring_balance,RR,MS
2016-03-01,pre,220,-2586.6584789113504,2806.6584789113504,formal_hiring_balance,RR,MS
2016-04-01,pre,-64,-1001.8606446654984,937.8606446654984,formal_hiring_balance,RR,MS
2016-05-01,pre,-43,-754.3805847297613,711.3805847297613,formal_hiring_balance,RR,MS
2016-06-01,pre,-232,-2165.1302577403094,1933.1302577403094,formal_hiring_balance,RR,MS
2016-07-01,pre,-90,-1352.5277016443345,1262.5277016443345,formal_hiring_balance,RR,MS
2016-08-01,pre,63,-1043.4742342419995,1106.4742342419995,formal_hiring_balance,RR,MS
2016-09-01,pre,345,-750.8993535961372,1095.8993535961372,formal_hiring_balance,RR,MS
2016-10-01,pre,-207,-1167.8630740697233,960.8630740697233,formal_hiring_balance,RR,MS
2016-11-01,pre,-23,-2560.204347520563,2537.204347520563,formal_hiring_balance,RR,MS
2016-12-01,pre,-490,-6532.51490347445,6042.51490347445,formal_hiring_balance,RR,MS
2017-01-01,pre,258,1102.6896729371888,-844.6896729371888,formal_hiring_balance,RR,MS
2017-02-01,pre,164,147.8327810872274,16.167218912772597,formal_hiring_balance,RR,MS
2017-03-01,pre,-86,-1596.1289682578358,1510.1289682578358,formal_hiring_balance,RR,MS
2017-04-01,pre,244,966.3933241355272,-722.3933241355272,formal_hiring_balance,RR,MS
2017-05-01,pre,267,1192.3974328525344,-925.3974328525344,formal_hiring_balance,RR,MS
2017-06-01,pre,23,293.0734135105327,-270.0734135105327,formal_hiring_balance,RR,MS
2017-07-01,pre,15,934.7298587591711,-919.7298587591711,formal_hiring_balance,RR,MS
2017-08-01,pre,415,57.67711108344618,357.32288891655384,formal_hiring_balance,RR,MS
2017-09-01,pre,535,708.3851973189768,-173.3851973189768,formal_hiring_balance,RR,MS
2017-10-01,pre,48,1012.8905102292631,-964.8905102292631,formal_hiring_balance,RR,MS
2017-11-01,pre,143,-456.01442430478556,599.0144243047855,formal_hiring_balance,RR,MS
2017-12-01,pre,-229,-5047.8746656564,4818.8746656564,formal_hiring_balance,RR,MS
2018-01-01,pre,92,2772.42852126819,-2680.42852126819,formal_hiring_balance,RR,MS
2018-02-01,pre,-49,894.1370754847765,-943.1370754847765,formal_hiring_balance,RR,MS
2018-03-01,pre,-2,459.8560741630173,-461.8560741630173,formal_hiring_balance,RR,MS
2018-04-01,pre,109,1278.3275800948074,-1169.3275800948074,formal_hiring_balance,RR,MS
2018-05-01,pre,-358,1461.3243485448108,-1819.3243485448108,formal_hiring_balance,RR,MS
2018-06-01,pre,-270,325.27458654837926,-595.2745865483793,formal_hiring_balance,RR,MS
2018-07-01,pre,-115,933.0834240896285,-1048.0834240896284,formal_hiring_balance,RR,MS
2018-08-01,pre,135,1661.5127462925955,-1526.5127462925955,formal_hiring_balance,RR,MS
2018-09-01,pre,625,2319.3656574581382,-1694.3656574581382,formal_hiring_balance,RR,MS
2018-10-01,pre,145,1269.0438874286192,-1124.0438874286192,formal_hiring_balance,RR,MS
2018-11-01,pre,224,976.6692681151914,-752.6692681151914,formal_hiring_balance,RR,MS
2019-01-01,post,-300,1738.2269781541659,-2038.2269781541659,formal_hiring_balance,RR,MS
2019-02-01,post,-246,2421.5927989604347,-2667.5927989604347,formal_hiring_balance,RR,MS
2019-03-01,post,76,-1223.0970193570683,1299.0970193570683,formal_hiring_balance,RR,MS
2019-04-01,post,152,1674.0609789301475,-1522.0609789301475,formal_hiring_balance,RR,MS
2019-05-01,post,124,3176.6302442550705,-3052.6302442550705,formal_hiring_balance,RR,MS
2019-06-01,post,194,698.5856490223455,-504.5856490223455,formal_hiring_balance,RR,MS
2019-07-01,post,253,-384.0003527325682,637.0003527325682,formal_hiring_balance,RR,MS
2019-08-01,post,276,2034.6207600080443,-1758.6207600080443,formal_hiring_balance,RR,MS
2019-09-01,post,605,2289.1127034938527,-1684.1127034938527,formal_hiring_balance,RR,MS
2019-10-01,post,242,1558.9161502412053,-1316.9161502412053,formal_hiring_balance,RR,MS
2019-11-01,post,628,1124.4881080039288,-496.4881080039288,formal_hiring_balance,RR,MS
2019-12-01,post,-171,-4365.1802624299535,4194.1802624299535,formal_hiring_balance,RR,MS
2020-01-01,post,381,1966.7420332367356,-1585.7420332367356,formal_hiring_balance,RR,MS
2020-02-01,post,757,2454.6004480914416,-1697.6004480914416,formal_hiring_balance,RR,MS
2020-03-01,post,407,-3104.7662907559393,3511.7662907559393,formal_hiring_balance,RR,MS
2020-04-01,post,-1404,-14151.590843876445,12747.590843876445,formal_hiring_balance,RR,MS
2020-05-01,post,-440,-5284.540261248501,4844.540261248501,formal_hiring_balance,RR,MS
2020-06-01,post,-25,375.32074427499145,-400.32074427499145,formal_hiring_balance,RR,MS
2020-07-01,post,175,2055.7188757135777,-1880.7188757135777,formal_hiring_balance,RR,MS
2020-08-01,post,639,4569.287175096249,-3930.2871750962486,formal_hiring_balance,RR,MS
2020-09-01,post,1181,4118.436896236015,-2937.436896236015,formal_hiring_balance,RR,MS
2020-10-01,post,632,5412.938419496999,-4780.938419496999,formal_hiring_balance,RR,MS
2020-11-01,post,1010,6680.463350464342,-5670.463350464342,formal_hiring_balance,RR,MS
2020-12-01,post,146,-2412.8246956033536,2558.8246956033536,formal_hiring_balance,RR,MS
2016-01-01,pre,-84,-1002.887985984143,918.887985984143,formal_hiring_balance,RR,PA
2016-02-01,pre,-83,-1014.4700670435996,931.4700670435996,formal_hiring_balance,RR,PA
2016-03-01,pre,220,-885.2095415366741,1105.2095415366741,formal_hiring_balance,RR,PA
2016-04-01,pre,-64,-37.37698859220327,-26.62301140779673,formal_hiring_balance,RR,PA
2016-05-01,pre,-43,266.76106707410446,-309.76106707410446,formal_hiring_balance,RR,PA
2016-06-01,pre,-232,-861.3715293195637,629.3715293195637,formal_hiring_balance,RR,PA
2016-07-01,pre,-90,-236.4986637007404,146.4986637007404,formal_hiring_balance,RR,PA
2016-08-01,pre,63,500.41082370090066,-437.41082370090066,formal_hiring_balance,RR,PA
2016-09-01,pre,345,264.96265806254297,80.03734193745703,formal_hiring_balance,RR,PA
2016-10-01,pre,-207,308.3747277288746,-515.3747277288746,formal_hiring_balance,RR,PA
2016-11-01,pre,-23,-1428.4115879448134,1405.4115879448134,formal_hiring_balance,RR,PA
2016-12-01,pre,-490,-6671.082260700985,6181.082260700985,formal_hiring_balance,RR,PA
2017-01-01,pre,258,298.66747411284837,-40.66747411284837,formal_hiring_balance,RR,PA
2017-02-01,pre,164,1021.5739577697921,-857.5739577697921,formal_hiring_balance,RR,PA
2017-03-01,pre,-86,4.688391590918486,-90.688391590918485,formal_hiring_balance,RR,PA
2017-04-01,pre,244,664.4308786455716,-420.4308786455716,formal_hiring_balance,RR,PA
2017-05-01,pre,267,-131.8513422408659,398.8513422408659,formal_hiring_balance,RR,PA
2017-06-01,pre,23,248.6574167072148,-225.6574167072148,formal_hiring_balance,RR,PA
2017-07-01,pre,15,-939.3316833167117,954.3316833167117,formal_hiring_balance,RR,PA
