period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2016-01-01,pre,76.54692,80.46172404566704,-3.91480404566704,retail_volume_index,AC,AC
2016-02-01,pre,70.46669,75.24635570560382,-4.7796657056038185,retail_volume_index,AC,AC
2016-03-01,pre,74.43484,77.72779750604738,-3.2929575060473866,retail_volume_index,AC,AC
2016-04-01,pre,73.4108,74.31753618495952,-0.9067361849595272,retail_volume_index,AC,AC
2016-05-01,pre,75.39488,76.36990541871434,-0.9750254187143383,retail_volume_index,AC,AC
2016-06-01,pre,71.49073,73.8492824890723,-2.358552489072295,retail_volume_index,AC,AC
2016-07-01,pre,76.0989,76.61336386795197,-0.5144638679519744,retail_volume_index,AC,AC
2016-08-01,pre,71.68274,74.06177055479144,-2.3790305547914414,retail_volume_index,AC,AC
2016-09-01,pre,67.58658,69.35504945956491,-1.768469459564912,retail_volume_index,AC,AC
2016-10-01,pre,72.57877,73.87021543568646,-1.2914454356864553,retail_volume_index,AC,AC
2016-11-01,pre,74.56284,77.82569202945837,-3.2628520294583723,retail_volume_index,AC,AC
2016-12-01,pre,98.94778,101.0594823655242,-2.1117023655242093,retail_volume_index,AC,AC
2017-01-01,pre,74.83723,74.35322417027083,0.4840058297291705,retail_volume_index,AC,AC
2017-02-01,pre,66.58058,67.28727901784448,-0.7066990178444854,retail_volume_index,AC,AC
2017-03-01,pre,70.25888,76.39582743030691,-6.136947430306904,retail_volume_index,AC,AC
2017-04-01,pre,71.56537,73.65473352943852,-2.089363529438515,retail_volume_index,AC,AC
2017-05-01,pre,77.3316,79.58662831071479,-2.255028310714792,retail_volume_index,AC,AC
2017-06-01,pre,73.23459,75.97294278178198,-2.738352781781984,retail_volume_index,AC,AC
2017-07-01,pre,80.63149,80.44482208457099,0.1866679154290125,retail_volume_index,AC,AC
2017-08-01,pre,81.38747,81.14624778519735,0.24122221480264727,retail_volume_index,AC,AC
2017-09-01,pre,79.29382,77.63985533680646,1.653964663193534,retail_volume_index,AC,AC
2017-10-01,pre,80.26565,80.26120872899978,0.004441271000217739,retail_volume_index,AC,AC
2017-11-01,pre,83.67532,85.11076747185301,-1.43544747185301,retail_volume_index,AC,AC
2017-12-01,pre,106.86082,105.95496419043533,0.9058558095646703,retail_volume_index,AC,AC
2018-01-01,pre,77.41936,78.3876264528934,-0.9682664528934026,retail_volume_index,AC,AC
2018-02-01,pre,72.89399,72.38170633919083,0.5122836608091745,retail_volume_index,AC,AC
2018-03-01,pre,82.73173,82.33072998280828,0.40100001719171985,retail_volume_index,AC,AC
2018-04-01,pre,77.08864,77.27937883654754,-0.19073883654753843,retail_volume_index,AC,AC
2018-05-01,pre,84.23376,82.8105262039552,1.4232337960447978,retail_volume_index,AC,AC
2018-06-01,pre,80.27558,79.44348402550578,0.8320959744942229,retail_volume_index,AC,AC
2018-07-01,pre,79.36575,80.23614518607458,-0.8703951860745747,retail_volume_index,AC,AC
2018-08-01,pre,84.99774,83.54876882023265,1.4489711797673408,retail_volume_index,AC,AC
2018-09-01,pre,84.58349,81.5162463858717,3.0672436141283015,retail_volume_index,AC,AC
2018-10-01,pre,87.50054,84.64117002146502,2.8593699785349855,retail_volume_index,AC,AC
2018-11-01,pre,97.27689,94.92450913489421,2.3523808651057863,retail_volume_index,AC,AC
2019-01-01,post,83.072,81.55650171199639,1.515498288003613,retail_volume_index,AC,AC
2019-02-01,post,78.59344,76.47065161233662,2.122788387663377,retail_volume_index,AC,AC
2019-03-01,post,86.84639,82.28721197008589,4.559178029914108,retail_volume_index,AC,AC
2019-04-01,post,81.53686,80.451568370547,1.0852916294530104,retail_volume_index,AC,AC
2019-05-01,post,89.64388,86.47805781879264,3.1658221812073606,retail_volume_index,AC,AC
2019-06-01,post,84.94855,80.99187317088924,3.956676829110762,retail_volume_index,AC,AC
2019-07-01,post,91.0202,85.81339253964595,5.206807460354057,retail_volume_index,AC,AC
2019-08-01,post,90.81082,86.83121365067693,3.9796063493230776,retail_volume_index,AC,AC
2019-09-01,post,87.8977,84.63567268897351,3.262027311026486,retail_volume_index,AC,AC
2019-10-01,post,91.28527,89.86220073567954,1.4230692643204605,retail_volume_index,AC,AC
2019-11-01,post,102.23068,102.16218124315253,0.0684987568474753,retail_volume_index,AC,AC
2019-12-01,post,117.81379,114.3756824124518,3.4381075875482026,retail_volume_index,AC,AC
2020-01-01,post,89.03046,85.15027275673079,3.8801872432692193,retail_volume_index,AC,AC
2020-02-01,post,85.18875,80.08222151036624,5.10652848963376,retail_volume_index,AC,AC
2020-03-01,post,76.35898,70.90899841406716,5.449981585932846,retail_volume_index,AC,AC
2020-04-01,post,60.38707,55.02912281942438,5.357947180575621,retail_volume_index,AC,AC
2020-05-01,post,74.82356,69.02676439894358,5.796795601056417,retail_volume_index,AC,AC
2020-06-01,post,81.01193,82.4954195460398,-1.4834895460397917,retail_volume_index,AC,AC
2020-07-01,post,98.781,96.49105129067954,2.28994870932047,retail_volume_index,AC,AC
2020-08-01,post,114.55674,105.7027072062128,8.854032793787198,retail_volume_index,AC,AC
2020-09-01,post,105.41495,99.56408783509714,5.850862164902864,retail_volume_index,AC,AC
2020-10-01,post,107.91034,103.08277032773228,4.827569672267728,retail_volume_index,AC,AC
2020-11-01,post,123.08368,116.55235739736769,6.531322602632315,retail_volume_index,AC,AC
2020-12-01,post,123.76664,127.024793439084,-3.2581534390839977,retail_volume_index,AC,AC
2016-01-01,pre,94.34097,97.1563856944086,-2.8154156944085997,retail_volume_index,AL,AL
2016-02-01,pre,85.14338,86.52059505133744,-1.3772150513374442,retail_volume_index,AL,AL
2016-03-01,pre,91.2751,92.16588515855783,-0.8907851585578328,retail_volume_index,AL,AL
2016-04-01,pre,87.15809,87.12359947323574,0.03449052676425879,retail_volume_index,AL,AL
2016-05-01,pre,87.42088,88.62941598397394,-1.2085359839739453,retail_volume_index,AL,AL
2016-06-01,pre,84.6178,88.48414974122286,-3.8663497412228622,retail_volume_index,AL,AL
2016-07-01,pre,86.63251,89.6405096593615,-3.007999659361502,retail_volume_index,AL,AL
2016-08-01,pre,87.24569,88.67274049903773,-1.4270504990377333,retail_volume_index,AL,AL
2016-09-01,pre,84.7054,85.3663263029269,-0.6609263029268959,retail_volume_index,AL,AL
2016-10-01,pre,91.18751,91.00607021332826,0.18143978667174565,retail_volume_index,AL,AL
2016-11-01,pre,94.34097,97.40414219882776,-3.0631721988277576,retail_volume_index,AL,AL
2016-12-01,pre,122.19652,122.61569659625097,-0.4191765962509635,retail_volume_index,AL,AL
2017-01-01,pre,99.31729,95.11122130568891,4.206068694311085,retail_volume_index,AL,AL
2017-02-01,pre,89.47069,85.80648608700074,3.6642039129992696,retail_volume_index,AL,AL
2017-03-01,pre,96.84979,96.83783436917781,0.01195563082218598,retail_volume_index,AL,AL
2017-04-01,pre,92.88846,92.37902206471952,0.5094379352804737,retail_volume_index,AL,AL
2017-05-01,pre,95.56351,94.90434862595623,0.6591613740437623,retail_volume_index,AL,AL
2017-06-01,pre,93.73504,95.03888034112927,-1.3038403411292734,retail_volume_index,AL,AL
2017-07-01,pre,95.22935,95.0016389277198,0.2277110722802007,retail_volume_index,AL,AL
2017-08-01,pre,94.86187,94.97751018416797,-0.11564018416797239,retail_volume_index,AL,AL
2017-09-01,pre,95.46227,93.40935104832596,2.0529189516740445,retail_volume_index,AL,AL
2017-10-01,pre,95.80841,94.38574001685072,1.4226699831492766,retail_volume_index,AL,AL
2017-11-01,pre,103.62717,106.89548192132224,-3.268311921322237,retail_volume_index,AL,AL
2017-12-01,pre,127.3233,125.50591244309298,1.817387556907022,retail_volume_index,AL,AL
2018-01-01,pre,99.56409,98.99906650469697,0.5650234953030235,retail_volume_index,AL,AL
2018-02-01,pre,86.77697,86.83139611873335,-0.05442611873334613,retail_volume_index,AL,AL
2018-03-01,pre,99.91992,99.82125882800176,0.09866117199824487,retail_volume_index,AL,AL
2018-04-01,pre,91.75229,91.01150557791763,0.7407844220823705,retail_volume_index,AL,AL
2018-05-01,pre,99.66266,95.94477303091497,3.717886969085029,retail_volume_index,AL,AL
2018-06-01,pre,94.53984,93.86413308654754,0.6757069134524585,retail_volume_index,AL,AL
2018-07-01,pre,91.83331,92.66064495798982,-0.8273349579898195,retail_volume_index,AL,AL
2018-08-01,pre,97.77218,96.14280015021086,1.6293798497891459,retail_volume_index,AL,AL
2018-09-01,pre,93.3264,93.8064881360514,-0.48008813605139267,retail_volume_index,AL,AL
2018-10-01,pre,97.17567,96.60666469089007,0.5690053091099259,retail_volume_index,AL,AL
2018-11-01,pre,107.38859,110.060554769883,-2.6719647698830045,retail_volume_index,AL,AL
2019-01-01,post,97.11818,97.00407339003989,0.11410660996010336,retail_volume_index,AL,AL
2019-02-01,post,87.36007,90.0148568285807,-2.6547868285807112,retail_volume_index,AL,AL
2019-03-01,post,92.75631,94.32831338524204,-1.5720033852420414,retail_volume_index,AL,AL
2019-04-01,post,91.31254,93.69422884811489,-2.381688848114891,retail_volume_index,AL,AL
2019-05-01,post,96.14263,97.70363136478086,-1.5610013647808643,retail_volume_index,AL,AL
2019-06-01,post,87.33691,93.97985236291325,-6.642942362913246,retail_volume_index,AL,AL
2019-07-01,post,92.00327,96.0688707091667,-4.065600709166702,retail_volume_index,AL,AL
2019-08-01,post,95.10092,100.93735529295702,-5.83643529295702,retail_volume_index,AL,AL
2019-09-01,post,91.23901,95.49637362477475,-4.257363624774754,retail_volume_index,AL,AL
2019-10-01,post,97.56115,101.09938599063625,-3.5382359906362524,retail_volume_index,AL,AL
2019-11-01,post,106.22776,111.73615692086483,-5.508396920864826,retail_volume_index,AL,AL
2019-12-01,post,122.65317,130.3299534713352,-7.676783471335185,retail_volume_index,AL,AL
2020-01-01,post,97.2116,99.93028444607938,-2.7186844460793793,retail_volume_index,AL,AL
2020-02-01,post,90.55666,91.78213443337523,-1.2254744333752399,retail_volume_index,AL,AL
2020-03-01,post,84.64043,88.90734589948948,-4.26691589948949,retail_volume_index,AL,AL
2020-04-01,post,67.62102,73.13788100710114,-5.5168610071011415,retail_volume_index,AL,AL
2020-05-01,post,77.52058,83.45968422304169,-5.939104223041696,retail_volume_index,AL,AL
2020-06-01,post,78.19665,89.76820755697538,-11.571557556975378,retail_volume_index,AL,AL
