donor_state,scm_weight,short_label
MA,0.6574751845059313,ICMS total VA
PB,0.13744735801373414,ICMS total VA
TO,0.10707965428223634,ICMS total VA
PE,0.06755986184336552,ICMS total VA
PA,0.02931468914397858,ICMS total VA
MA,0.6490956519949851,Tax revenue VA
PB,0.15668746288433114,Tax revenue VA
TO,0.12760551463122888,Tax revenue VA
PA,0.04570441613929386,Tax revenue VA
PE,0.02090695435016067,Tax revenue VA
PB,0.2660345323895166,ICMS retail VA
PE,0.2443185776457664,ICMS retail VA
MA,0.15179729860142432,ICMS retail VA
PA,0.10164574553954468,ICMS retail VA
BA,0.08381721246316266,ICMS retail VA
RN,0.3338247763082057,Retail volume
CE,0.2526045539384704,Retail volume
BA,0.16532273308107998,Retail volume
AC,0.12541541684790866,Retail volume
RR,0.0702942895922763,Retail volume
