donor_state,scm_weight
ES,0.4175657841757013
SC,0.2866264410696475
MS,0.2546485607882663
RO,0.041159213949030125
RJ,3.644310684770215e-12
BA,2.6109159946135518e-12
CE,2.5261586663437543e-12
SE,2.39623161972495e-12
RN,2.2564830845333715e-12
PR,2.1835643223811313e-12
RS,1.0325647660750442e-12
GO,3.105663828852821e-13
PI,2.706347368373268e-13
MG,1.229747016183159e-13
PA,3.5226895184330105e-16
AP,7.361273014102493e-17
AM,3.225535589794967e-17
RR,6.957767298730931e-18
PE,5.0740611288228775e-18
AC,0
AL,0
MT,0
SP,0
