Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.49,4.49,0.00,31
Emprego formal 6m (per 1k),1.36,1.27,1.12,31
ICMS CONFAZ 6m pc (log),7.35,7.35,0.01,31
